Año,Categoria,Evaluación,Amabilidad,Asesorias,Rapidez,Comentarios,Comentarios_Limpios
2023,Alumno,1,Neutral,Neutral,Neutral,Mas personal y que corran a las personas que se la pasan platicando y haciendo ruido ya que la biblioteca es un lugar para estudiar y realizar tareas o trabajos,Mas personal y que corra a las persona que se la pasa platinado y hacienda ruido ya que la biblioteca es un lugar para estudiar y realizar tarea o trabajo.
2024,Docente,2,Bueno,Muy Malo,Neutral,Los baÃ±os muchas veces se quedan sin papel o sin jabÃ³n o estÃ¡n muy sucios,Los baño mucha veras se queda sin papel o sin jabón o esto muy sucio.
2023,Personal Administrativo,5,Muy Bueno,Malo,Malo,Muy Bien,Muy Bien.
2024,Otro,6,Malo,Malo,Bueno,Las aulas de cÃ³mputo estan muy sucias,Las aula de cómputo esta muy sucia.
2023,Alumno,1,Neutral,Muy Malo,Muy Bueno,Cambiar el sistema de pago de copias e impresiones,Cambiar el sistema de pago de copia e impresionar.
2023,Otro,5,Malo,Neutral,Bueno,Me caen muy bien,Me caer muy bien.
2024,Docente,2,Malo,Malo,Muy Malo,BaÃ±os sucios,Baño sucio.
2023,Alumno,7,Muy Malo,Muy Malo,Muy Bueno,"Todo excelente, gracias",Todo excelente gracia.
2023,Otro,1,Muy Malo,Neutral,Muy Bueno,Compren equipo nuevo,Comprar equipo nuevo.
2024,Docente,2,Bueno,Malo,Malo,Me caen muy bien,Me caer muy bien.
2023,Otro,4,Neutral,Bueno,Muy Malo,"Todo excelente, gracias",Todo excelente gracia.
2024,Alumno,8,Bueno,Malo,Muy Bueno,El Internet esta muy lento,El interna esta muy lento.
2024,Otro,4,Bueno,Muy Bueno,Muy Malo,Las aulas de cÃ³mputo estan muy sucias,Las aula de cómputo esta muy sucia.
2023,Personal Administrativo,2,Muy Malo,Neutral,Muy Malo,,
2023,Alumno,3,Bueno,Muy Malo,Bueno,El Internet esta muy lento,El interna esta muy lento.
2023,Alumno,3,Malo,Muy Bueno,Neutral,Atienden muy lento,Atender muy lento.
2024,Alumno,0,Muy Malo,Muy Malo,Malo,Nadie atiende,Nadie aliende.
2024,Alumno,8,Neutral,Muy Malo,Bueno,Muy pocas computadoras,Muy poca computadoras.
2023,Alumno,2,Neutral,Bueno,Bueno,al momento de pedir una impresiÃ³n te atienden de mala gana.mejoren la actitud.,Al momento de pedir una impresión te atender de mala gana.mejoren la actitud.
2023,Personal Administrativo,2,Neutral,Bueno,Neutral,No funcionan los proyectores,No funcionar los proyectores.
2024,Personal Administrativo,8,Muy Bueno,Muy Bueno,Malo,Me atendieron de una forma muy grosera,Me atendieron de una forma muy grosera.
2023,Otro,1,Malo,Neutral,Muy Malo,Fallan equipos,Falla equipo.
2023,Otro,6,Muy Malo,Muy Bueno,Muy Malo,Nada,Nada.
2023,Otro,2,Muy Bueno,Muy Bueno,Muy Malo,Me atendieron de una forma muy grosera,Me atendieron de una forma muy grosera.
2023,Docente,5,Bueno,Neutral,Bueno,Computadoras lentas,Computadoras lenta.
2023,Docente,7,Muy Malo,Bueno,Bueno,Nadie atiende,Nadie aliende.
2024,Personal Administrativo,1,Bueno,Muy Malo,Bueno,Atienden muy lento,Atender muy lento.
2024,Otro,5,Neutral,Malo,Muy Bueno,Atienden muy lento,Atender muy lento.
2024,Alumno,3,Muy Malo,Muy Malo,Muy Malo,Bien,Bien.
2023,Personal Administrativo,8,Neutral,Muy Bueno,Muy Bueno,Compren equipo nuevo,Comprar equipo nuevo.
2024,Docente,4,Muy Bueno,Neutral,Muy Malo,"Todo excelente, gracias",Todo excelente gracia.
2024,Alumno,1,Neutral,Bueno,Malo,El Internet esta muy lento,El interna esta muy lento.
2024,Docente,5,Neutral,Bueno,Bueno,Fallan equipos,Falla equipo.
2024,Personal Administrativo,7,Malo,Muy Malo,Muy Malo,Computadoras lentas,Computadoras lenta.
2024,Otro,5,Malo,Neutral,Malo,al momento de pedir una impresiÃ³n te atienden de mala gana.mejoren la actitud.,Al momento de pedir una impresión te atender de mala gana.mejoren la actitud.
2023,Otro,8,Malo,Neutral,Malo,Me atendieron de una forma muy grosera,Me atendieron de una forma muy grosera.
2023,Otro,9,Muy Bueno,Muy Malo,Neutral,"Todo muy bien, el ambiente es agradable",Todo muy bien el ambiente es agradable.
2024,Docente,4,Muy Bueno,Neutral,Muy Malo,Compren equipo nuevo,Comprar equipo nuevo.
2024,Otro,9,Neutral,Neutral,Muy Malo,Falta mÃ¡s personal de servicioEs muy difÃ­cil accederExcelente servicioEl internet esta lentisimo,Falta más personal de servicio muy difícil accederExcelente servicio interna esta centésimo.
2024,Personal Administrativo,8,Muy Malo,Neutral,Bueno,Me caen muy bien,Me caer muy bien.
2024,Personal Administrativo,4,Malo,Muy Bueno,Muy Malo,Compren equipo nuevo,Comprar equipo nuevo.
2024,Otro,8,Malo,Muy Malo,Neutral,Fallan equipos,Falla equipo.
2023,Otro,5,Muy Malo,Muy Bueno,Muy Bueno,Muy pocas computadoras,Muy poca computadoras.
2024,Personal Administrativo,5,Bueno,Muy Malo,Muy Malo,PodrÃ­an mejorar el horario de servicio,Podrían mejorar el horario de servicio.
2023,Otro,6,Neutral,Malo,Muy Bueno,Me caen muy bien,Me caer muy bien.
2023,Docente,6,Bueno,Malo,Bueno,Fallan equipos,Falla equipo.
2023,Otro,9,Muy Malo,Bueno,Muy Bueno,"Todo excelente, gracias",Todo excelente gracia.
2024,Docente,8,Muy Bueno,Bueno,Bueno,Bien,Bien.
2024,Alumno,0,Neutral,Bueno,Muy Malo,Muchas cosas porque el personal es muy soberbio,Mucha cosa porque el personal es muy soberbio.
2023,Personal Administrativo,5,Muy Bueno,Malo,Muy Bueno,PodrÃ­an mejorar el horario de servicio,Podrían mejorar el horario de servicio.
2023,Alumno,4,Muy Bueno,Malo,Neutral,Se llenan todas las aulas y no puedo trabajar,Se llena toda las aula y no quedo trabajar.
2023,Otro,7,Bueno,Muy Bueno,Neutral,Nada,Nada.
2023,Personal Administrativo,8,Neutral,Muy Bueno,Malo,Atienden muy lento,Atender muy lento.
2024,Otro,7,Bueno,Malo,Neutral,Los baÃ±os muchas veces se quedan sin papel o sin jabÃ³n o estÃ¡n muy sucios,Los baño mucha veras se queda sin papel o sin jabón o esto muy sucio.
2024,Alumno,8,Neutral,Muy Bueno,Neutral,Compren equipo nuevo,Comprar equipo nuevo.
2023,Docente,7,Bueno,Muy Bueno,Bueno,Muy pocas computadoras,Muy poca computadoras.
2024,Docente,6,Bueno,Bueno,Muy Malo,Fallan equipos,Falla equipo.
2024,Docente,1,Neutral,Malo,Bueno,Excelente,Excelente.
2024,Otro,2,Muy Bueno,Bueno,Bueno,Muy Bien,Muy Bien.
2023,Personal Administrativo,4,Muy Malo,Bueno,Muy Bueno,El Internet esta muy lento,El interna esta muy lento.
2024,Alumno,1,Bueno,Muy Malo,Neutral,Muchas cosas porque el personal es muy soberbio,Mucha cosa porque el personal es muy soberbio.
2024,Alumno,3,Muy Malo,Neutral,Malo,Las aulas de cÃ³mputo estan muy sucias,Las aula de cómputo esta muy sucia.
2023,Docente,0,Muy Malo,Bueno,Bueno,Muy Bien,Muy Bien.
2023,Docente,7,Muy Bueno,Bueno,Bueno,Mejorar el internet,Mejorar el interna.
2023,Otro,8,Malo,Malo,Bueno,No funcionan los proyectores,No funcionar los proyectores.
2023,Personal Administrativo,8,Muy Malo,Bueno,Muy Malo,al momento de pedir una impresiÃ³n te atienden de mala gana.mejoren la actitud.,Al momento de pedir una impresión te atender de mala gana.mejoren la actitud.
2023,Alumno,9,Bueno,Muy Malo,Muy Malo,Nada,Nada.
2024,Alumno,7,Neutral,Bueno,Neutral,"Cada que se quiere consultar algo, sale un texto que se repasÃ³ el nÃºmero de impresiones, lo cual nunca se puede consultar nada","Cada que se quier consultar algo vale un texto que se repaso el número de impresiones, lo cual nunca se pues consultar nada."
2024,Alumno,9,Muy Malo,Muy Malo,Muy Malo,BaÃ±os sucios,Baño sucio.
2024,Alumno,8,Malo,Bueno,Malo,Muy Bien,Muy Bien.
2023,Personal Administrativo,7,Muy Bueno,Neutral,Muy Bueno,Mas personal y que corran a las personas que se la pasan platicando y haciendo ruido ya que la biblioteca es un lugar para estudiar y realizar tareas o trabajos,Mas personal y que corra a las persona que se la pasa platinado y hacienda ruido ya que la biblioteca es un lugar para estudiar y realizar tarea o trabajo.
2023,Personal Administrativo,7,Malo,Muy Malo,Malo,Nadie atiende,Nadie aliende.
2023,Personal Administrativo,6,Bueno,Muy Bueno,Malo,Cambiar el sistema de pago de copias e impresiones,Cambiar el sistema de pago de copia e impresionar.
2024,Personal Administrativo,5,Bueno,Neutral,Bueno,Muy Bien,Muy Bien.
2023,Personal Administrativo,4,Malo,Bueno,Bueno,No funcionan los proyectores,No funcionar los proyectores.
2024,Docente,1,Malo,Bueno,Malo,"Todo muy bien, el ambiente es agradable",Todo muy bien el ambiente es agradable.
2023,Otro,0,Bueno,Neutral,Neutral,Se llenan todas las aulas y no puedo trabajar,Se llena toda las aula y no quedo trabajar.
2024,Personal Administrativo,0,Muy Bueno,Malo,Muy Bueno,"Todo muy bien, el ambiente es agradable",Todo muy bien el ambiente es agradable.
2024,Personal Administrativo,9,Bueno,Muy Malo,Muy Bueno,El Internet esta muy lento,El interna esta muy lento.
2023,Alumno,5,Muy Bueno,Muy Malo,Muy Malo,"Cada que se quiere consultar algo, sale un texto que se repasÃ³ el nÃºmero de impresiones, lo cual nunca se puede consultar nada","Cada que se quier consultar algo vale un texto que se repaso el número de impresiones, lo cual nunca se pues consultar nada."
2023,Docente,4,Muy Bueno,Bueno,Muy Bueno,Cambiar el sistema de pago de copias e impresiones,Cambiar el sistema de pago de copia e impresionar.
2023,Alumno,3,Muy Bueno,Muy Malo,Malo,El Internet esta muy lento,El interna esta muy lento.
2023,Otro,0,Bueno,Malo,Bueno,Muy pocas computadoras,Muy poca computadoras.
2023,Personal Administrativo,3,Muy Bueno,Malo,Bueno,Cambiar el sistema de pago de copias e impresiones,Cambiar el sistema de pago de copia e impresionar.
2024,Docente,8,Muy Bueno,Malo,Neutral,Los baÃ±os muchas veces se quedan sin papel o sin jabÃ³n o estÃ¡n muy sucios,Los baño mucha veras se queda sin papel o sin jabón o esto muy sucio.
2024,Otro,6,Muy Bueno,Malo,Muy Bueno,PodrÃ­an mejorar el horario de servicio,Podrían mejorar el horario de servicio.
2024,Docente,8,Malo,Malo,Muy Bueno,Muy Bien,Muy Bien.
2023,Alumno,2,Muy Malo,Muy Malo,Malo,Compren equipo nuevo,Comprar equipo nuevo.
2023,Personal Administrativo,1,Malo,Muy Bueno,Muy Bueno,Me atendieron de una forma muy grosera,Me atendieron de una forma muy grosera.
2024,Alumno,9,Malo,Bueno,Bueno,"Todo muy bien, el ambiente es agradable",Todo muy bien el ambiente es agradable.
2023,Alumno,0,Malo,Malo,Malo,"Todo muy bien, el ambiente es agradable",Todo muy bien el ambiente es agradable.
2024,Docente,1,Malo,Muy Malo,Neutral,Excelente,Excelente.
2024,Otro,4,Malo,Muy Bueno,Neutral,Computadoras lentas,Computadoras lenta.
2023,Otro,3,Bueno,Neutral,Neutral,BaÃ±os sucios,Baño sucio.
2024,Otro,6,Muy Malo,Bueno,Bueno,"Todo excelente, gracias",Todo excelente gracia.
2024,Docente,8,Bueno,Muy Bueno,Bueno,Atienden muy lento,Atender muy lento.
2023,Personal Administrativo,1,Malo,Malo,Muy Malo,Fallan equipos,Falla equipo.
2024,Otro,5,Bueno,Neutral,Muy Bueno,Mejorar el internet,Mejorar el interna.
2024,Alumno,0,Muy Bueno,Malo,Muy Bueno,"Cada que se quiere consultar algo, sale un texto que se repasÃ³ el nÃºmero de impresiones, lo cual nunca se puede consultar nada","Cada que se quier consultar algo vale un texto que se repaso el número de impresiones, lo cual nunca se pues consultar nada."
2023,Otro,3,Malo,Bueno,Bueno,Me caen muy bien,Me caer muy bien.
2023,Personal Administrativo,0,Neutral,Malo,Muy Malo,Atienden muy lento,Atender muy lento.
2023,Alumno,2,Bueno,Malo,Malo,BaÃ±os sucios,Baño sucio.
2024,Alumno,8,Neutral,Malo,Muy Malo,Muy pocas computadoras,Muy poca computadoras.
2024,Alumno,6,Muy Bueno,Bueno,Neutral,Mas personal y que corran a las personas que se la pasan platicando y haciendo ruido ya que la biblioteca es un lugar para estudiar y realizar tareas o trabajos,Mas personal y que corra a las persona que se la pasa platinado y hacienda ruido ya que la biblioteca es un lugar para estudiar y realizar tarea o trabajo.
2024,Otro,0,Neutral,Neutral,Muy Malo,Cambiar el sistema de pago de copias e impresiones,Cambiar el sistema de pago de copia e impresionar.
2024,Docente,9,Muy Malo,Malo,Neutral,Computadoras lentas,Computadoras lenta.
2023,Otro,1,Bueno,Bueno,Bueno,Equipos viejos,Equipo viejo.
2024,Personal Administrativo,5,Muy Malo,Muy Bueno,Bueno,Los baÃ±os muchas veces se quedan sin papel o sin jabÃ³n o estÃ¡n muy sucios,Los baño mucha veras se queda sin papel o sin jabón o esto muy sucio.
2024,Personal Administrativo,9,Bueno,Neutral,Muy Bueno,"Todo excelente, gracias",Todo excelente gracia.
2023,Alumno,8,Muy Malo,Neutral,Muy Malo,Mas personal y que corran a las personas que se la pasan platicando y haciendo ruido ya que la biblioteca es un lugar para estudiar y realizar tareas o trabajos,Mas personal y que corra a las persona que se la pasa platinado y hacienda ruido ya que la biblioteca es un lugar para estudiar y realizar tarea o trabajo.
2023,Docente,4,Malo,Bueno,Neutral,Equipos viejos,Equipo viejo.
2023,Alumno,0,Muy Malo,Bueno,Muy Bueno,Cambiar el sistema de pago de copias e impresiones,Cambiar el sistema de pago de copia e impresionar.
2023,Alumno,5,Neutral,Muy Malo,Neutral,Computadoras lentas,Computadoras lenta.
2024,Docente,8,Bueno,Malo,Malo,Me caen muy bien,Me caer muy bien.
2024,Personal Administrativo,1,Bueno,Muy Bueno,Muy Malo,Equipos viejos,Equipo viejo.
2024,Otro,1,Muy Malo,Neutral,Bueno,Muy pocas computadoras,Muy poca computadoras.
2024,Alumno,2,Neutral,Muy Bueno,Malo,,
2023,Otro,8,Bueno,Muy Malo,Muy Malo,Nada,Nada.
2023,Alumno,9,Muy Bueno,Muy Malo,Muy Bueno,Mas personal y que corran a las personas que se la pasan platicando y haciendo ruido ya que la biblioteca es un lugar para estudiar y realizar tareas o trabajos,Mas personal y que corra a las persona que se la pasa platinado y hacienda ruido ya que la biblioteca es un lugar para estudiar y realizar tarea o trabajo.
2024,Alumno,9,Neutral,Muy Bueno,Muy Malo,,
2024,Personal Administrativo,3,Malo,Malo,Bueno,"Todo excelente, gracias",Todo excelente gracia.
2024,Otro,9,Muy Bueno,Bueno,Malo,Las aulas de cÃ³mputo estan muy sucias,Las aula de cómputo esta muy sucia.
2024,Docente,4,Bueno,Muy Malo,Muy Malo,"Todo excelente, gracias",Todo excelente gracia.
2023,Alumno,4,Malo,Muy Malo,Bueno,Muy pocas computadoras,Muy poca computadoras.
2024,Docente,6,Malo,Malo,Malo,Mas personal y que corran a las personas que se la pasan platicando y haciendo ruido ya que la biblioteca es un lugar para estudiar y realizar tareas o trabajos,Mas personal y que corra a las persona que se la pasa platinado y hacienda ruido ya que la biblioteca es un lugar para estudiar y realizar tarea o trabajo.
2023,Personal Administrativo,4,Bueno,Muy Malo,Neutral,Mejorar el internet,Mejorar el interna.
2024,Docente,2,Malo,Malo,Muy Bueno,"Todo excelente, gracias",Todo excelente gracia.
2024,Docente,2,Muy Malo,Bueno,Muy Malo,Los baÃ±os muchas veces se quedan sin papel o sin jabÃ³n o estÃ¡n muy sucios,Los baño mucha veras se queda sin papel o sin jabón o esto muy sucio.
2023,Personal Administrativo,9,Bueno,Muy Malo,Malo,Excelente,Excelente.
2024,Otro,8,Malo,Malo,Bueno,Bien,Bien.
2024,Otro,8,Muy Bueno,Muy Malo,Muy Malo,Atienden muy lento,Atender muy lento.
2024,Otro,7,Muy Bueno,Muy Bueno,Neutral,Atienden muy lento,Atender muy lento.
2023,Docente,4,Bueno,Muy Malo,Neutral,Equipos viejos,Equipo viejo.
2023,Docente,0,Muy Bueno,Neutral,Bueno,Muy Bien,Muy Bien.
2023,Alumno,8,Muy Malo,Malo,Bueno,Fallan equipos,Falla equipo.
2024,Alumno,9,Bueno,Muy Malo,Bueno,Falta mÃ¡s personal de servicioEs muy difÃ­cil accederExcelente servicioEl internet esta lentisimo,Falta más personal de servicio muy difícil accederExcelente servicio interna esta centésimo.
2023,Docente,4,Malo,Malo,Muy Malo,Mejorar el internet,Mejorar el interna.
2024,Personal Administrativo,6,Malo,Muy Malo,Muy Malo,PodrÃ­an mejorar el horario de servicio,Podrían mejorar el horario de servicio.
2023,Otro,0,Bueno,Muy Malo,Neutral,Excelente,Excelente.
2024,Docente,5,Bueno,Malo,Bueno,Las aulas de cÃ³mputo estan muy sucias,Las aula de cómputo esta muy sucia.
2024,Docente,2,Neutral,Muy Bueno,Malo,El Internet esta muy lento,El interna esta muy lento.
2023,Personal Administrativo,9,Muy Malo,Muy Bueno,Neutral,Equipos viejos,Equipo viejo.
2023,Otro,4,Neutral,Muy Bueno,Neutral,"Todo excelente, gracias",Todo excelente gracia.
2024,Personal Administrativo,3,Malo,Malo,Muy Malo,Mas personal y que corran a las personas que se la pasan platicando y haciendo ruido ya que la biblioteca es un lugar para estudiar y realizar tareas o trabajos,Mas personal y que corra a las persona que se la pasa platinado y hacienda ruido ya que la biblioteca es un lugar para estudiar y realizar tarea o trabajo.
2023,Personal Administrativo,0,Malo,Neutral,Malo,Me caen muy bien,Me caer muy bien.
2023,Otro,8,Neutral,Muy Malo,Neutral,No funcionan los proyectores,No funcionar los proyectores.
2023,Otro,6,Muy Bueno,Muy Bueno,Muy Malo,Falta mÃ¡s personal de servicioEs muy difÃ­cil accederExcelente servicioEl internet esta lentisimo,Falta más personal de servicio muy difícil accederExcelente servicio interna esta centésimo.
2023,Docente,2,Muy Malo,Neutral,Muy Bueno,No funcionan las computadoras,No funcionar las computadoras.
2024,Alumno,4,Muy Bueno,Muy Malo,Neutral,"Todo muy bien, el ambiente es agradable",Todo muy bien el ambiente es agradable.
2024,Alumno,0,Muy Malo,Bueno,Muy Bueno,Nadie atiende,Nadie aliende.
2024,Alumno,1,Malo,Neutral,Malo,Compren equipo nuevo,Comprar equipo nuevo.
2024,Docente,4,Muy Malo,Muy Bueno,Neutral,Mas personal y que corran a las personas que se la pasan platicando y haciendo ruido ya que la biblioteca es un lugar para estudiar y realizar tareas o trabajos,Mas personal y que corra a las persona que se la pasa platinado y hacienda ruido ya que la biblioteca es un lugar para estudiar y realizar tarea o trabajo.
2024,Personal Administrativo,0,Muy Bueno,Bueno,Neutral,Los baÃ±os muchas veces se quedan sin papel o sin jabÃ³n o estÃ¡n muy sucios,Los baño mucha veras se queda sin papel o sin jabón o esto muy sucio.
2024,Personal Administrativo,0,Malo,Muy Malo,Malo,,
2024,Personal Administrativo,2,Neutral,Neutral,Muy Malo,,
2024,Otro,6,Neutral,Muy Malo,Bueno,Mas personal y que corran a las personas que se la pasan platicando y haciendo ruido ya que la biblioteca es un lugar para estudiar y realizar tareas o trabajos,Mas personal y que corra a las persona que se la pasa platinado y hacienda ruido ya que la biblioteca es un lugar para estudiar y realizar tarea o trabajo.
2023,Alumno,8,Neutral,Bueno,Muy Malo,Equipos viejos,Equipo viejo.
2024,Otro,9,Malo,Muy Malo,Bueno,Mejorar el internet,Mejorar el interna.
2024,Personal Administrativo,6,Neutral,Neutral,Muy Bueno,No funcionan las computadoras,No funcionar las computadoras.
2024,Otro,8,Bueno,Neutral,Malo,Equipos viejos,Equipo viejo.
2023,Alumno,2,Neutral,Neutral,Muy Malo,Los baÃ±os muchas veces se quedan sin papel o sin jabÃ³n o estÃ¡n muy sucios,Los baño mucha veras se queda sin papel o sin jabón o esto muy sucio.
2023,Otro,6,Muy Malo,Muy Bueno,Muy Malo,"Todo muy bien, el ambiente es agradable",Todo muy bien el ambiente es agradable.
2023,Docente,1,Neutral,Muy Malo,Bueno,Falta mÃ¡s personal de servicioEs muy difÃ­cil accederExcelente servicioEl internet esta lentisimo,Falta más personal de servicio muy difícil accederExcelente servicio interna esta centésimo.
2024,Docente,8,Neutral,Muy Malo,Bueno,al momento de pedir una impresiÃ³n te atienden de mala gana.mejoren la actitud.,Al momento de pedir una impresión te atender de mala gana.mejoren la actitud.
2024,Alumno,4,Muy Malo,Muy Bueno,Bueno,Computadoras lentas,Computadoras lenta.
2024,Otro,6,Muy Malo,Bueno,Muy Bueno,Excelente,Excelente.
