Año,Categoria,Evaluación,Amabilidad,Asesorias,Rapidez,Comentarios,Comentarios_Limpios
2023,Alumno,0,Muy Bueno,Muy Bueno,Muy Bueno,"Cada que se quiere consultar algo, sale un texto que se repasÃ³ el nÃºmero de impresiones, lo cual nunca se puede consultar nada","Cada que se quier consultar algo vale un texto que se repaso el número de impresiones, lo cual nunca se pues consultar nada."
2024,Alumno,0,Muy Malo,Muy Bueno,Neutral,Excelente,Excelente.
2024,Docente,1,Neutral,Malo,Muy Malo,Muy Bien,Muy Bien.
2023,Personal Administrativo,3,Bueno,Neutral,Neutral,Nada,Nada.
2023,Alumno,8,Malo,Muy Bueno,Muy Bueno,"Todo muy bien, el ambiente es agradable",Todo muy bien el ambiente es agradable.
2023,Docente,7,Muy Bueno,Muy Malo,Muy Bueno,Los baÃ±os muchas veces se quedan sin papel o sin jabÃ³n o estÃ¡n muy sucios,Los baño mucha veras se queda sin papel o sin jabón o esto muy sucio.
2023,Personal Administrativo,2,Malo,Muy Malo,Malo,No funcionan las computadoras,No funcionar las computadoras.
2024,Alumno,2,Malo,Muy Malo,Muy Bueno,Se llenan todas las aulas y no puedo trabajar,Se llena toda las aula y no quedo trabajar.
2024,Alumno,8,Malo,Muy Bueno,Malo,Falta mÃ¡s personal de servicioEs muy difÃ­cil accederExcelente servicioEl internet esta lentisimo,Falta más personal de servicio muy difícil accederExcelente servicio interna esta centésimo.
2023,Personal Administrativo,0,Neutral,Muy Bueno,Malo,Me atendieron de una forma muy grosera,Me atendieron de una forma muy grosera.
2024,Docente,9,Muy Bueno,Muy Malo,Neutral,Mejorar el internet,Mejorar el interna.
2023,Otro,9,Neutral,Bueno,Neutral,Muchas cosas porque el personal es muy soberbio,Mucha cosa porque el personal es muy soberbio.
2023,Otro,1,Muy Bueno,Muy Bueno,Neutral,Nadie atiende,Nadie aliende.
2023,Personal Administrativo,9,Malo,Muy Bueno,Bueno,BaÃ±os sucios,Baño sucio.
2024,Docente,1,Neutral,Muy Malo,Bueno,No funcionan los proyectores,No funcionar los proyectores.
2023,Otro,5,Bueno,Bueno,Bueno,Mas personal y que corran a las personas que se la pasan platicando y haciendo ruido ya que la biblioteca es un lugar para estudiar y realizar tareas o trabajos,Mas personal y que corra a las persona que se la pasa platinado y hacienda ruido ya que la biblioteca es un lugar para estudiar y realizar tarea o trabajo.
2023,Docente,8,Neutral,Bueno,Bueno,"Todo muy bien, el ambiente es agradable",Todo muy bien el ambiente es agradable.
2023,Otro,2,Malo,Malo,Neutral,BaÃ±os sucios,Baño sucio.
2024,Personal Administrativo,0,Muy Bueno,Muy Malo,Malo,Atienden muy lento,Atender muy lento.
2024,Alumno,3,Neutral,Muy Bueno,Muy Bueno,al momento de pedir una impresiÃ³n te atienden de mala gana.mejoren la actitud.,Al momento de pedir una impresión te atender de mala gana.mejoren la actitud.
2024,Otro,0,Malo,Muy Bueno,Neutral,"Todo excelente, gracias",Todo excelente gracia.
2023,Otro,6,Neutral,Muy Bueno,Neutral,Mas personal y que corran a las personas que se la pasan platicando y haciendo ruido ya que la biblioteca es un lugar para estudiar y realizar tareas o trabajos,Mas personal y que corra a las persona que se la pasa platinado y hacienda ruido ya que la biblioteca es un lugar para estudiar y realizar tarea o trabajo.
2023,Personal Administrativo,8,Bueno,Malo,Muy Bueno,No funcionan los proyectores,No funcionar los proyectores.
2024,Personal Administrativo,0,Neutral,Malo,Muy Bueno,Falta mÃ¡s personal de servicioEs muy difÃ­cil accederExcelente servicioEl internet esta lentisimo,Falta más personal de servicio muy difícil accederExcelente servicio interna esta centésimo.
2023,Alumno,8,Muy Malo,Muy Malo,Bueno,Excelente,Excelente.
2024,Docente,2,Muy Malo,Bueno,Muy Bueno,Falta mÃ¡s personal de servicioEs muy difÃ­cil accederExcelente servicioEl internet esta lentisimo,Falta más personal de servicio muy difícil accederExcelente servicio interna esta centésimo.
2024,Alumno,8,Bueno,Bueno,Bueno,Nada,Nada.
2024,Otro,7,Neutral,Bueno,Muy Malo,No funcionan las computadoras,No funcionar las computadoras.
2023,Personal Administrativo,6,Muy Malo,Muy Bueno,Muy Malo,Cambiar el sistema de pago de copias e impresiones,Cambiar el sistema de pago de copia e impresionar.
2023,Alumno,0,Bueno,Neutral,Muy Malo,"Cada que se quiere consultar algo, sale un texto que se repasÃ³ el nÃºmero de impresiones, lo cual nunca se puede consultar nada","Cada que se quier consultar algo vale un texto que se repaso el número de impresiones, lo cual nunca se pues consultar nada."
2024,Alumno,9,Bueno,Bueno,Malo,Nada,Nada.
2024,Otro,4,Bueno,Muy Bueno,Malo,El Internet esta muy lento,El interna esta muy lento.
2024,Otro,9,Muy Malo,Neutral,Neutral,BaÃ±os sucios,Baño sucio.
2023,Alumno,3,Muy Bueno,Muy Bueno,Neutral,PodrÃ­an mejorar el horario de servicio,Podrían mejorar el horario de servicio.
2024,Personal Administrativo,0,Malo,Neutral,Muy Malo,Bien,Bien.
2024,Alumno,9,Muy Malo,Malo,Bueno,Equipos viejos,Equipo viejo.
2023,Alumno,9,Muy Bueno,Muy Malo,Muy Bueno,Bien,Bien.
2023,Personal Administrativo,9,Bueno,Muy Bueno,Muy Malo,Compren equipo nuevo,Comprar equipo nuevo.
2023,Otro,1,Muy Malo,Bueno,Malo,Se llenan todas las aulas y no puedo trabajar,Se llena toda las aula y no quedo trabajar.
2023,Docente,0,Muy Malo,Malo,Bueno,El Internet esta muy lento,El interna esta muy lento.
2023,Personal Administrativo,8,Neutral,Muy Bueno,Muy Bueno,Atienden muy lento,Atender muy lento.
2024,Alumno,9,Bueno,Bueno,Muy Bueno,Falta mÃ¡s personal de servicioEs muy difÃ­cil accederExcelente servicioEl internet esta lentisimo,Falta más personal de servicio muy difícil accederExcelente servicio interna esta centésimo.
2023,Personal Administrativo,8,Neutral,Malo,Muy Bueno,Mas personal y que corran a las personas que se la pasan platicando y haciendo ruido ya que la biblioteca es un lugar para estudiar y realizar tareas o trabajos,Mas personal y que corra a las persona que se la pasa platinado y hacienda ruido ya que la biblioteca es un lugar para estudiar y realizar tarea o trabajo.
2024,Personal Administrativo,1,Muy Malo,Malo,Muy Malo,Atienden muy lento,Atender muy lento.
2024,Otro,6,Malo,Bueno,Muy Malo,Equipos viejos,Equipo viejo.
2024,Otro,6,Neutral,Bueno,Muy Bueno,No funcionan los proyectores,No funcionar los proyectores.
2024,Otro,4,Bueno,Bueno,Bueno,Nada,Nada.
2023,Personal Administrativo,0,Bueno,Muy Malo,Malo,El Internet esta muy lento,El interna esta muy lento.
2023,Otro,7,Neutral,Muy Malo,Neutral,"Todo muy bien, el ambiente es agradable",Todo muy bien el ambiente es agradable.
2023,Docente,5,Neutral,Muy Bueno,Neutral,Nada,Nada.
2023,Alumno,4,Neutral,Neutral,Malo,Cambiar el sistema de pago de copias e impresiones,Cambiar el sistema de pago de copia e impresionar.
2023,Alumno,2,Muy Bueno,Muy Malo,Bueno,,
2023,Personal Administrativo,5,Muy Bueno,Bueno,Neutral,al momento de pedir una impresiÃ³n te atienden de mala gana.mejoren la actitud.,Al momento de pedir una impresión te atender de mala gana.mejoren la actitud.
2024,Otro,3,Malo,Bueno,Neutral,Nadie atiende,Nadie aliende.
2024,Docente,4,Muy Bueno,Neutral,Neutral,,
2023,Alumno,2,Malo,Malo,Neutral,Muy pocas computadoras,Muy poca computadoras.
2024,Otro,5,Muy Bueno,Bueno,Bueno,PodrÃ­an mejorar el horario de servicio,Podrían mejorar el horario de servicio.
2024,Alumno,7,Muy Bueno,Muy Malo,Neutral,Bien,Bien.
2023,Personal Administrativo,1,Malo,Malo,Muy Malo,"Todo excelente, gracias",Todo excelente gracia.
2024,Otro,6,Muy Malo,Malo,Bueno,Muy pocas computadoras,Muy poca computadoras.
2024,Docente,8,Muy Bueno,Bueno,Neutral,Muchas cosas porque el personal es muy soberbio,Mucha cosa porque el personal es muy soberbio.
2023,Alumno,6,Muy Bueno,Muy Bueno,Muy Malo,Muchas cosas porque el personal es muy soberbio,Mucha cosa porque el personal es muy soberbio.
2023,Alumno,9,Malo,Malo,Muy Bueno,Se llenan todas las aulas y no puedo trabajar,Se llena toda las aula y no quedo trabajar.
2023,Personal Administrativo,6,Neutral,Muy Bueno,Malo,"Todo muy bien, el ambiente es agradable",Todo muy bien el ambiente es agradable.
2023,Personal Administrativo,0,Muy Bueno,Neutral,Neutral,"Cada que se quiere consultar algo, sale un texto que se repasÃ³ el nÃºmero de impresiones, lo cual nunca se puede consultar nada","Cada que se quier consultar algo vale un texto que se repaso el número de impresiones, lo cual nunca se pues consultar nada."
2024,Alumno,6,Muy Bueno,Muy Bueno,Bueno,Fallan equipos,Falla equipo.
2024,Alumno,7,Malo,Bueno,Malo,No funcionan las computadoras,No funcionar las computadoras.
2024,Alumno,1,Bueno,Neutral,Muy Bueno,Falta mÃ¡s personal de servicioEs muy difÃ­cil accederExcelente servicioEl internet esta lentisimo,Falta más personal de servicio muy difícil accederExcelente servicio interna esta centésimo.
2023,Alumno,3,Bueno,Bueno,Muy Malo,No funcionan los proyectores,No funcionar los proyectores.
2024,Docente,5,Muy Bueno,Bueno,Muy Bueno,Me caen muy bien,Me caer muy bien.
2024,Alumno,5,Malo,Bueno,Muy Bueno,Excelente,Excelente.
2024,Otro,7,Malo,Neutral,Muy Malo,Mas personal y que corran a las personas que se la pasan platicando y haciendo ruido ya que la biblioteca es un lugar para estudiar y realizar tareas o trabajos,Mas personal y que corra a las persona que se la pasa platinado y hacienda ruido ya que la biblioteca es un lugar para estudiar y realizar tarea o trabajo.
2023,Alumno,6,Neutral,Neutral,Muy Bueno,BaÃ±os sucios,Baño sucio.
2023,Alumno,2,Muy Bueno,Bueno,Muy Bueno,PodrÃ­an mejorar el horario de servicio,Podrían mejorar el horario de servicio.
2024,Personal Administrativo,7,Muy Malo,Bueno,Muy Bueno,Bien,Bien.
2024,Docente,3,Muy Bueno,Neutral,Neutral,No funcionan los proyectores,No funcionar los proyectores.
2024,Docente,8,Malo,Malo,Muy Malo,Muy pocas computadoras,Muy poca computadoras.
2024,Personal Administrativo,4,Neutral,Bueno,Neutral,Los baÃ±os muchas veces se quedan sin papel o sin jabÃ³n o estÃ¡n muy sucios,Los baño mucha veras se queda sin papel o sin jabón o esto muy sucio.
2023,Alumno,6,Malo,Neutral,Muy Malo,BaÃ±os sucios,Baño sucio.
2023,Personal Administrativo,5,Neutral,Neutral,Malo,Muy pocas computadoras,Muy poca computadoras.
2023,Docente,5,Bueno,Muy Bueno,Bueno,Las aulas de cÃ³mputo estan muy sucias,Las aula de cómputo esta muy sucia.
2024,Personal Administrativo,7,Neutral,Bueno,Muy Bueno,No funcionan las computadoras,No funcionar las computadoras.
2023,Personal Administrativo,8,Muy Bueno,Malo,Bueno,Equipos viejos,Equipo viejo.
2024,Docente,8,Neutral,Malo,Neutral,BaÃ±os sucios,Baño sucio.
2024,Alumno,5,Bueno,Neutral,Muy Malo,Se llenan todas las aulas y no puedo trabajar,Se llena toda las aula y no quedo trabajar.
2023,Docente,6,Malo,Bueno,Muy Bueno,Bien,Bien.
2023,Docente,5,Bueno,Malo,Muy Malo,No funcionan las computadoras,No funcionar las computadoras.
2023,Docente,7,Malo,Malo,Muy Bueno,Muy pocas computadoras,Muy poca computadoras.
2024,Otro,4,Bueno,Muy Bueno,Bueno,Nadie atiende,Nadie aliende.
2024,Docente,6,Bueno,Neutral,Neutral,,
2023,Docente,6,Malo,Neutral,Muy Malo,Excelente,Excelente.
2024,Otro,1,Bueno,Malo,Muy Bueno,Nada,Nada.
2023,Docente,4,Neutral,Neutral,Malo,"Cada que se quiere consultar algo, sale un texto que se repasÃ³ el nÃºmero de impresiones, lo cual nunca se puede consultar nada","Cada que se quier consultar algo vale un texto que se repaso el número de impresiones, lo cual nunca se pues consultar nada."
2023,Docente,3,Malo,Muy Bueno,Muy Malo,Nada,Nada.
2023,Alumno,4,Muy Malo,Muy Bueno,Bueno,No funcionan las computadoras,No funcionar las computadoras.
2024,Docente,5,Muy Bueno,Bueno,Muy Malo,Mas personal y que corran a las personas que se la pasan platicando y haciendo ruido ya que la biblioteca es un lugar para estudiar y realizar tareas o trabajos,Mas personal y que corra a las persona que se la pasa platinado y hacienda ruido ya que la biblioteca es un lugar para estudiar y realizar tarea o trabajo.
2023,Personal Administrativo,7,Malo,Malo,Neutral,Mas personal y que corran a las personas que se la pasan platicando y haciendo ruido ya que la biblioteca es un lugar para estudiar y realizar tareas o trabajos,Mas personal y que corra a las persona que se la pasa platinado y hacienda ruido ya que la biblioteca es un lugar para estudiar y realizar tarea o trabajo.
2024,Docente,2,Muy Bueno,Muy Malo,Neutral,Me caen muy bien,Me caer muy bien.
2024,Alumno,2,Bueno,Bueno,Bueno,Muchas cosas porque el personal es muy soberbio,Mucha cosa porque el personal es muy soberbio.
2023,Otro,4,Malo,Neutral,Muy Malo,Nadie atiende,Nadie aliende.
2023,Otro,5,Muy Malo,Muy Malo,Malo,Muy pocas computadoras,Muy poca computadoras.
2024,Docente,2,Bueno,Muy Bueno,Neutral,BaÃ±os sucios,Baño sucio.
2023,Otro,5,Neutral,Muy Bueno,Malo,Mas personal y que corran a las personas que se la pasan platicando y haciendo ruido ya que la biblioteca es un lugar para estudiar y realizar tareas o trabajos,Mas personal y que corra a las persona que se la pasa platinado y hacienda ruido ya que la biblioteca es un lugar para estudiar y realizar tarea o trabajo.
2024,Alumno,9,Bueno,Muy Malo,Neutral,"Todo excelente, gracias",Todo excelente gracia.
2023,Docente,0,Neutral,Muy Malo,Malo,No funcionan los proyectores,No funcionar los proyectores.
2023,Personal Administrativo,1,Muy Malo,Neutral,Bueno,al momento de pedir una impresiÃ³n te atienden de mala gana.mejoren la actitud.,Al momento de pedir una impresión te atender de mala gana.mejoren la actitud.
2023,Alumno,9,Muy Malo,Malo,Muy Bueno,Nada,Nada.
2024,Alumno,5,Bueno,Muy Malo,Neutral,No funcionan los proyectores,No funcionar los proyectores.
2024,Alumno,2,Muy Malo,Muy Malo,Neutral,Muy Bien,Muy Bien.
2023,Personal Administrativo,6,Malo,Bueno,Muy Bueno,Falta mÃ¡s personal de servicioEs muy difÃ­cil accederExcelente servicioEl internet esta lentisimo,Falta más personal de servicio muy difícil accederExcelente servicio interna esta centésimo.
2024,Otro,9,Bueno,Muy Malo,Neutral,Mas personal y que corran a las personas que se la pasan platicando y haciendo ruido ya que la biblioteca es un lugar para estudiar y realizar tareas o trabajos,Mas personal y que corra a las persona que se la pasa platinado y hacienda ruido ya que la biblioteca es un lugar para estudiar y realizar tarea o trabajo.
2023,Otro,1,Muy Bueno,Muy Malo,Malo,,
2024,Otro,1,Muy Malo,Neutral,Muy Bueno,Atienden muy lento,Atender muy lento.
2024,Docente,1,Neutral,Bueno,Muy Malo,Nadie atiende,Nadie aliende.
2024,Alumno,1,Neutral,Muy Bueno,Muy Bueno,Mejorar el internet,Mejorar el interna.
2024,Docente,7,Neutral,Malo,Muy Bueno,El Internet esta muy lento,El interna esta muy lento.
2024,Alumno,4,Muy Malo,Neutral,Neutral,Mejorar el internet,Mejorar el interna.
2023,Personal Administrativo,0,Malo,Malo,Malo,al momento de pedir una impresiÃ³n te atienden de mala gana.mejoren la actitud.,Al momento de pedir una impresión te atender de mala gana.mejoren la actitud.
2024,Alumno,7,Malo,Muy Malo,Muy Bueno,Cambiar el sistema de pago de copias e impresiones,Cambiar el sistema de pago de copia e impresionar.
2024,Alumno,0,Neutral,Muy Malo,Muy Bueno,Nada,Nada.
2024,Docente,1,Muy Malo,Malo,Muy Bueno,Muchas cosas porque el personal es muy soberbio,Mucha cosa porque el personal es muy soberbio.
2024,Alumno,5,Malo,Malo,Malo,PodrÃ­an mejorar el horario de servicio,Podrían mejorar el horario de servicio.
2023,Alumno,2,Muy Bueno,Bueno,Muy Malo,Nada,Nada.
2023,Otro,8,Neutral,Neutral,Muy Malo,Cambiar el sistema de pago de copias e impresiones,Cambiar el sistema de pago de copia e impresionar.
2024,Alumno,9,Malo,Malo,Bueno,Me caen muy bien,Me caer muy bien.
2024,Otro,4,Muy Bueno,Muy Bueno,Bueno,Compren equipo nuevo,Comprar equipo nuevo.
2023,Docente,8,Muy Malo,Muy Malo,Muy Bueno,al momento de pedir una impresiÃ³n te atienden de mala gana.mejoren la actitud.,Al momento de pedir una impresión te atender de mala gana.mejoren la actitud.
2023,Personal Administrativo,7,Muy Malo,Muy Malo,Muy Bueno,Nada,Nada.
2023,Personal Administrativo,7,Muy Bueno,Neutral,Muy Malo,Mejorar el internet,Mejorar el interna.
2024,Personal Administrativo,6,Muy Malo,Neutral,Bueno,Computadoras lentas,Computadoras lenta.
2024,Alumno,6,Malo,Muy Bueno,Bueno,Compren equipo nuevo,Comprar equipo nuevo.
2024,Alumno,9,Malo,Muy Bueno,Neutral,Fallan equipos,Falla equipo.
2024,Personal Administrativo,3,Malo,Neutral,Malo,No funcionan las computadoras,No funcionar las computadoras.
2023,Otro,8,Bueno,Neutral,Muy Malo,"Todo excelente, gracias",Todo excelente gracia.
2023,Alumno,2,Muy Bueno,Malo,Malo,PodrÃ­an mejorar el horario de servicio,Podrían mejorar el horario de servicio.
2023,Docente,8,Bueno,Muy Malo,Bueno,"Cada que se quiere consultar algo, sale un texto que se repasÃ³ el nÃºmero de impresiones, lo cual nunca se puede consultar nada","Cada que se quier consultar algo vale un texto que se repaso el número de impresiones, lo cual nunca se pues consultar nada."
2024,Otro,6,Muy Bueno,Malo,Muy Malo,Falta mÃ¡s personal de servicioEs muy difÃ­cil accederExcelente servicioEl internet esta lentisimo,Falta más personal de servicio muy difícil accederExcelente servicio interna esta centésimo.
2024,Otro,8,Bueno,Bueno,Bueno,Me caen muy bien,Me caer muy bien.
2023,Docente,9,Muy Bueno,Muy Malo,Muy Bueno,BaÃ±os sucios,Baño sucio.
2024,Docente,4,Bueno,Muy Bueno,Malo,El Internet esta muy lento,El interna esta muy lento.
2024,Alumno,8,Neutral,Neutral,Muy Malo,PodrÃ­an mejorar el horario de servicio,Podrían mejorar el horario de servicio.
2023,Otro,4,Muy Bueno,Muy Bueno,Bueno,Se llenan todas las aulas y no puedo trabajar,Se llena toda las aula y no quedo trabajar.
2023,Docente,1,Muy Malo,Neutral,Malo,Se llenan todas las aulas y no puedo trabajar,Se llena toda las aula y no quedo trabajar.
2023,Personal Administrativo,9,Muy Malo,Malo,Muy Bueno,al momento de pedir una impresiÃ³n te atienden de mala gana.mejoren la actitud.,Al momento de pedir una impresión te atender de mala gana.mejoren la actitud.
2023,Docente,1,Bueno,Muy Bueno,Muy Malo,Nada,Nada.
2024,Alumno,7,Bueno,Muy Malo,Malo,"Todo muy bien, el ambiente es agradable",Todo muy bien el ambiente es agradable.
2023,Docente,7,Bueno,Malo,Neutral,Mejorar el internet,Mejorar el interna.
2024,Docente,8,Muy Malo,Neutral,Neutral,Las aulas de cÃ³mputo estan muy sucias,Las aula de cómputo esta muy sucia.
2023,Docente,4,Bueno,Malo,Bueno,Falta mÃ¡s personal de servicioEs muy difÃ­cil accederExcelente servicioEl internet esta lentisimo,Falta más personal de servicio muy difícil accederExcelente servicio interna esta centésimo.
2023,Personal Administrativo,3,Bueno,Bueno,Muy Bueno,al momento de pedir una impresiÃ³n te atienden de mala gana.mejoren la actitud.,Al momento de pedir una impresión te atender de mala gana.mejoren la actitud.
2024,Docente,3,Muy Malo,Muy Bueno,Malo,Atienden muy lento,Atender muy lento.
2023,Otro,2,Muy Bueno,Muy Malo,Malo,Equipos viejos,Equipo viejo.
2023,Docente,3,Muy Bueno,Malo,Muy Bueno,Mejorar el internet,Mejorar el interna.
2023,Alumno,8,Neutral,Bueno,Muy Malo,Mas personal y que corran a las personas que se la pasan platicando y haciendo ruido ya que la biblioteca es un lugar para estudiar y realizar tareas o trabajos,Mas personal y que corra a las persona que se la pasa platinado y hacienda ruido ya que la biblioteca es un lugar para estudiar y realizar tarea o trabajo.
2024,Personal Administrativo,3,Muy Malo,Bueno,Muy Malo,Nadie atiende,Nadie aliende.
2024,Personal Administrativo,8,Muy Malo,Muy Malo,Malo,Los baÃ±os muchas veces se quedan sin papel o sin jabÃ³n o estÃ¡n muy sucios,Los baño mucha veras se queda sin papel o sin jabón o esto muy sucio.
