Año,Categoria,Evaluación,Amabilidad,Asesorias,Rapidez,Comentarios,Comentarios_Limpios
2024,Personal Administrativo,9,Malo,Muy Malo,Malo,"Cada que se quiere consultar algo, sale un texto que se repasÃ³ el nÃºmero de impresiones, lo cual nunca se puede consultar nada","Cada que se quier consultar algo vale un texto que se repaso el número de impresiones, lo cual nunca se pues consultar nada."
2024,Docente,2,Neutral,Bueno,Neutral,Mas personal y que corran a las personas que se la pasan platicando y haciendo ruido ya que la biblioteca es un lugar para estudiar y realizar tareas o trabajos,Mas personal y que corra a las persona que se la pasa platinado y hacienda ruido ya que la biblioteca es un lugar para estudiar y realizar tarea o trabajo.
2023,Personal Administrativo,5,Bueno,Muy Malo,Muy Malo,Nada,Nada.
2024,Docente,8,Muy Malo,Muy Malo,Neutral,Muy Bien,Muy Bien.
2024,Otro,7,Malo,Bueno,Muy Malo,Me atendieron de una forma muy grosera,Me atendieron de una forma muy grosera.
2023,Otro,4,Malo,Muy Malo,Muy Bueno,PodrÃ­an mejorar el horario de servicio,Podrían mejorar el horario de servicio.
2023,Personal Administrativo,8,Neutral,Muy Malo,Malo,Las aulas de cÃ³mputo estan muy sucias,Las aula de cómputo esta muy sucia.
2023,Otro,5,Muy Malo,Muy Bueno,Muy Bueno,Nada,Nada.
2024,Docente,1,Muy Bueno,Bueno,Malo,Cambiar el sistema de pago de copias e impresiones,Cambiar el sistema de pago de copia e impresionar.
2023,Otro,8,Bueno,Malo,Bueno,PodrÃ­an mejorar el horario de servicio,Podrían mejorar el horario de servicio.
2023,Docente,7,Muy Bueno,Bueno,Muy Malo,Nadie atiende,Nadie aliende.
2023,Personal Administrativo,6,Muy Malo,Malo,Neutral,Equipos viejos,Equipo viejo.
2023,Docente,4,Malo,Neutral,Neutral,Muchas cosas porque el personal es muy soberbio,Mucha cosa porque el personal es muy soberbio.
2024,Otro,1,Muy Malo,Muy Malo,Neutral,Mas personal y que corran a las personas que se la pasan platicando y haciendo ruido ya que la biblioteca es un lugar para estudiar y realizar tareas o trabajos,Mas personal y que corra a las persona que se la pasa platinado y hacienda ruido ya que la biblioteca es un lugar para estudiar y realizar tarea o trabajo.
2024,Docente,2,Muy Malo,Malo,Muy Bueno,,
2024,Alumno,0,Muy Malo,Neutral,Muy Malo,BaÃ±os sucios,Baño sucio.
2023,Docente,6,Neutral,Bueno,Malo,El Internet esta muy lento,El interna esta muy lento.
2023,Otro,4,Bueno,Bueno,Malo,Compren equipo nuevo,Comprar equipo nuevo.
2023,Docente,8,Malo,Bueno,Muy Malo,Bien,Bien.
2024,Otro,9,Malo,Muy Bueno,Malo,"Todo muy bien, el ambiente es agradable",Todo muy bien el ambiente es agradable.
2023,Otro,4,Muy Bueno,Bueno,Bueno,BaÃ±os sucios,Baño sucio.
2023,Docente,2,Muy Malo,Malo,Muy Bueno,Me caen muy bien,Me caer muy bien.
2024,Otro,1,Muy Malo,Muy Bueno,Neutral,No funcionan los proyectores,No funcionar los proyectores.
2024,Alumno,3,Muy Malo,Muy Malo,Muy Malo,"Todo excelente, gracias",Todo excelente gracia.
2024,Docente,2,Neutral,Neutral,Malo,Falta mÃ¡s personal de servicioEs muy difÃ­cil accederExcelente servicioEl internet esta lentisimo,Falta más personal de servicio muy difícil accederExcelente servicio interna esta centésimo.
2023,Docente,9,Bueno,Malo,Neutral,"Todo excelente, gracias",Todo excelente gracia.
2024,Otro,4,Muy Malo,Malo,Muy Bueno,BaÃ±os sucios,Baño sucio.
2024,Personal Administrativo,2,Malo,Muy Bueno,Neutral,Equipos viejos,Equipo viejo.
2024,Personal Administrativo,8,Muy Bueno,Neutral,Muy Bueno,BaÃ±os sucios,Baño sucio.
2024,Alumno,5,Muy Bueno,Neutral,Bueno,Fallan equipos,Falla equipo.
2024,Personal Administrativo,5,Bueno,Bueno,Malo,Falta mÃ¡s personal de servicioEs muy difÃ­cil accederExcelente servicioEl internet esta lentisimo,Falta más personal de servicio muy difícil accederExcelente servicio interna esta centésimo.
2024,Alumno,7,Neutral,Malo,Muy Bueno,Las aulas de cÃ³mputo estan muy sucias,Las aula de cómputo esta muy sucia.
2024,Personal Administrativo,3,Muy Malo,Muy Malo,Muy Bueno,Equipos viejos,Equipo viejo.
2023,Personal Administrativo,1,Malo,Muy Bueno,Muy Malo,Los baÃ±os muchas veces se quedan sin papel o sin jabÃ³n o estÃ¡n muy sucios,Los baño mucha veras se queda sin papel o sin jabón o esto muy sucio.
2023,Docente,6,Neutral,Neutral,Muy Bueno,Computadoras lentas,Computadoras lenta.
2024,Otro,4,Muy Bueno,Neutral,Muy Bueno,Nadie atiende,Nadie aliende.
2023,Personal Administrativo,2,Neutral,Bueno,Muy Malo,"Cada que se quiere consultar algo, sale un texto que se repasÃ³ el nÃºmero de impresiones, lo cual nunca se puede consultar nada","Cada que se quier consultar algo vale un texto que se repaso el número de impresiones, lo cual nunca se pues consultar nada."
2024,Alumno,8,Malo,Muy Bueno,Malo,Nada,Nada.
2024,Docente,8,Muy Bueno,Muy Bueno,Neutral,Falta mÃ¡s personal de servicioEs muy difÃ­cil accederExcelente servicioEl internet esta lentisimo,Falta más personal de servicio muy difícil accederExcelente servicio interna esta centésimo.
2024,Docente,4,Neutral,Muy Malo,Neutral,,
2023,Docente,6,Neutral,Bueno,Neutral,Excelente,Excelente.
2023,Personal Administrativo,6,Muy Malo,Malo,Malo,Cambiar el sistema de pago de copias e impresiones,Cambiar el sistema de pago de copia e impresionar.
2024,Personal Administrativo,8,Muy Malo,Bueno,Malo,Me caen muy bien,Me caer muy bien.
2024,Docente,6,Muy Bueno,Bueno,Malo,Falta mÃ¡s personal de servicioEs muy difÃ­cil accederExcelente servicioEl internet esta lentisimo,Falta más personal de servicio muy difícil accederExcelente servicio interna esta centésimo.
2023,Alumno,1,Muy Bueno,Neutral,Bueno,Muchas cosas porque el personal es muy soberbio,Mucha cosa porque el personal es muy soberbio.
2024,Docente,3,Muy Malo,Malo,Bueno,Equipos viejos,Equipo viejo.
2023,Alumno,1,Bueno,Bueno,Muy Malo,Cambiar el sistema de pago de copias e impresiones,Cambiar el sistema de pago de copia e impresionar.
2024,Alumno,5,Malo,Muy Bueno,Neutral,"Todo excelente, gracias",Todo excelente gracia.
2023,Alumno,8,Neutral,Bueno,Muy Malo,,
2024,Personal Administrativo,5,Muy Bueno,Malo,Neutral,No funcionan los proyectores,No funcionar los proyectores.
2023,Alumno,9,Bueno,Malo,Malo,Atienden muy lento,Atender muy lento.
2023,Otro,6,Neutral,Muy Malo,Muy Bueno,Compren equipo nuevo,Comprar equipo nuevo.
2023,Personal Administrativo,3,Malo,Malo,Malo,El Internet esta muy lento,El interna esta muy lento.
2023,Otro,8,Neutral,Muy Malo,Muy Bueno,BaÃ±os sucios,Baño sucio.
2023,Docente,1,Muy Malo,Muy Malo,Muy Malo,Muy pocas computadoras,Muy poca computadoras.
2024,Personal Administrativo,2,Muy Bueno,Bueno,Bueno,Fallan equipos,Falla equipo.
2023,Alumno,6,Bueno,Neutral,Malo,Las aulas de cÃ³mputo estan muy sucias,Las aula de cómputo esta muy sucia.
2024,Otro,1,Bueno,Muy Malo,Muy Malo,Fallan equipos,Falla equipo.
2023,Alumno,6,Malo,Neutral,Neutral,"Todo excelente, gracias",Todo excelente gracia.
2023,Alumno,9,Malo,Muy Bueno,Malo,"Todo muy bien, el ambiente es agradable",Todo muy bien el ambiente es agradable.
2024,Personal Administrativo,7,Bueno,Muy Bueno,Bueno,Me caen muy bien,Me caer muy bien.
2023,Otro,0,Neutral,Bueno,Muy Malo,Nadie atiende,Nadie aliende.
2023,Alumno,6,Bueno,Muy Malo,Neutral,Se llenan todas las aulas y no puedo trabajar,Se llena toda las aula y no quedo trabajar.
2023,Docente,5,Muy Bueno,Muy Bueno,Muy Malo,Las aulas de cÃ³mputo estan muy sucias,Las aula de cómputo esta muy sucia.
2024,Personal Administrativo,4,Malo,Muy Bueno,Bueno,Muy pocas computadoras,Muy poca computadoras.
2023,Personal Administrativo,7,Muy Malo,Muy Bueno,Malo,Excelente,Excelente.
2023,Otro,1,Neutral,Muy Bueno,Muy Malo,Muy pocas computadoras,Muy poca computadoras.
2024,Otro,3,Malo,Muy Malo,Malo,Muchas cosas porque el personal es muy soberbio,Mucha cosa porque el personal es muy soberbio.
2024,Otro,5,Bueno,Bueno,Neutral,Mas personal y que corran a las personas que se la pasan platicando y haciendo ruido ya que la biblioteca es un lugar para estudiar y realizar tareas o trabajos,Mas personal y que corra a las persona que se la pasa platinado y hacienda ruido ya que la biblioteca es un lugar para estudiar y realizar tarea o trabajo.
2024,Docente,6,Neutral,Muy Malo,Muy Malo,El Internet esta muy lento,El interna esta muy lento.
2023,Personal Administrativo,8,Neutral,Muy Malo,Neutral,Atienden muy lento,Atender muy lento.
2023,Personal Administrativo,0,Malo,Malo,Neutral,Me atendieron de una forma muy grosera,Me atendieron de una forma muy grosera.
2023,Personal Administrativo,0,Neutral,Muy Malo,Malo,Me atendieron de una forma muy grosera,Me atendieron de una forma muy grosera.
2024,Personal Administrativo,1,Muy Malo,Malo,Neutral,Nada,Nada.
2023,Otro,6,Malo,Neutral,Muy Bueno,Mejorar el internet,Mejorar el interna.
2024,Otro,4,Malo,Bueno,Muy Malo,No funcionan las computadoras,No funcionar las computadoras.
2023,Otro,1,Bueno,Bueno,Bueno,No funcionan los proyectores,No funcionar los proyectores.
2024,Otro,2,Muy Bueno,Neutral,Muy Malo,Bien,Bien.
2023,Otro,9,Bueno,Muy Malo,Bueno,"Todo muy bien, el ambiente es agradable",Todo muy bien el ambiente es agradable.
2023,Otro,6,Muy Malo,Neutral,Muy Bueno,Muchas cosas porque el personal es muy soberbio,Mucha cosa porque el personal es muy soberbio.
2023,Personal Administrativo,4,Malo,Bueno,Neutral,Bien,Bien.
2023,Alumno,3,Muy Bueno,Bueno,Bueno,Muy Bien,Muy Bien.
2023,Personal Administrativo,6,Muy Malo,Muy Bueno,Neutral,"Todo muy bien, el ambiente es agradable",Todo muy bien el ambiente es agradable.
2023,Docente,6,Muy Bueno,Bueno,Neutral,Me atendieron de una forma muy grosera,Me atendieron de una forma muy grosera.
2024,Otro,8,Neutral,Malo,Malo,Me atendieron de una forma muy grosera,Me atendieron de una forma muy grosera.
2023,Docente,6,Malo,Bueno,Muy Malo,El Internet esta muy lento,El interna esta muy lento.
2024,Alumno,1,Bueno,Malo,Neutral,Fallan equipos,Falla equipo.
2023,Docente,0,Muy Bueno,Malo,Malo,Compren equipo nuevo,Comprar equipo nuevo.
2024,Docente,7,Muy Malo,Muy Malo,Muy Bueno,Cambiar el sistema de pago de copias e impresiones,Cambiar el sistema de pago de copia e impresionar.
2023,Alumno,9,Muy Malo,Neutral,Bueno,No funcionan los proyectores,No funcionar los proyectores.
2024,Docente,2,Malo,Neutral,Bueno,Muy pocas computadoras,Muy poca computadoras.
2023,Otro,3,Neutral,Muy Bueno,Muy Malo,Muy Bien,Muy Bien.
2024,Otro,4,Malo,Muy Malo,Muy Malo,"Todo muy bien, el ambiente es agradable",Todo muy bien el ambiente es agradable.
2024,Docente,5,Neutral,Bueno,Bueno,,
2023,Alumno,6,Muy Malo,Malo,Muy Malo,Fallan equipos,Falla equipo.
2024,Docente,7,Muy Bueno,Muy Bueno,Muy Malo,al momento de pedir una impresiÃ³n te atienden de mala gana.mejoren la actitud.,Al momento de pedir una impresión te atender de mala gana.mejoren la actitud.
2024,Personal Administrativo,9,Malo,Malo,Neutral,Nada,Nada.
2023,Personal Administrativo,4,Malo,Bueno,Muy Bueno,Mejorar el internet,Mejorar el interna.
2024,Personal Administrativo,0,Neutral,Bueno,Malo,Me caen muy bien,Me caer muy bien.
2024,Otro,0,Malo,Neutral,Bueno,Muy pocas computadoras,Muy poca computadoras.
2024,Docente,6,Neutral,Malo,Muy Bueno,Falta mÃ¡s personal de servicioEs muy difÃ­cil accederExcelente servicioEl internet esta lentisimo,Falta más personal de servicio muy difícil accederExcelente servicio interna esta centésimo.
2024,Docente,7,Malo,Muy Bueno,Neutral,"Todo excelente, gracias",Todo excelente gracia.
2024,Alumno,6,Bueno,Bueno,Bueno,Mejorar el internet,Mejorar el interna.
2024,Alumno,0,Muy Bueno,Neutral,Muy Malo,Muchas cosas porque el personal es muy soberbio,Mucha cosa porque el personal es muy soberbio.
2024,Otro,1,Neutral,Neutral,Muy Malo,Compren equipo nuevo,Comprar equipo nuevo.
2024,Alumno,3,Malo,Muy Bueno,Bueno,PodrÃ­an mejorar el horario de servicio,Podrían mejorar el horario de servicio.
2024,Otro,3,Muy Malo,Malo,Malo,Falta mÃ¡s personal de servicioEs muy difÃ­cil accederExcelente servicioEl internet esta lentisimo,Falta más personal de servicio muy difícil accederExcelente servicio interna esta centésimo.
2023,Docente,7,Bueno,Bueno,Neutral,Se llenan todas las aulas y no puedo trabajar,Se llena toda las aula y no quedo trabajar.
2023,Docente,6,Bueno,Bueno,Bueno,Falta mÃ¡s personal de servicioEs muy difÃ­cil accederExcelente servicioEl internet esta lentisimo,Falta más personal de servicio muy difícil accederExcelente servicio interna esta centésimo.
2023,Otro,1,Malo,Malo,Bueno,Computadoras lentas,Computadoras lenta.
2023,Alumno,0,Malo,Neutral,Bueno,Falta mÃ¡s personal de servicioEs muy difÃ­cil accederExcelente servicioEl internet esta lentisimo,Falta más personal de servicio muy difícil accederExcelente servicio interna esta centésimo.
2024,Alumno,0,Malo,Bueno,Muy Malo,Los baÃ±os muchas veces se quedan sin papel o sin jabÃ³n o estÃ¡n muy sucios,Los baño mucha veras se queda sin papel o sin jabón o esto muy sucio.
2024,Personal Administrativo,5,Bueno,Malo,Muy Bueno,Fallan equipos,Falla equipo.
2023,Alumno,5,Malo,Muy Bueno,Muy Malo,Cambiar el sistema de pago de copias e impresiones,Cambiar el sistema de pago de copia e impresionar.
2023,Otro,6,Muy Malo,Malo,Muy Bueno,Muchas cosas porque el personal es muy soberbio,Mucha cosa porque el personal es muy soberbio.
2023,Personal Administrativo,2,Muy Malo,Muy Malo,Bueno,Fallan equipos,Falla equipo.
2024,Docente,7,Bueno,Muy Malo,Bueno,Equipos viejos,Equipo viejo.
2024,Otro,9,Malo,Neutral,Malo,Muchas cosas porque el personal es muy soberbio,Mucha cosa porque el personal es muy soberbio.
2024,Alumno,9,Bueno,Malo,Malo,Cambiar el sistema de pago de copias e impresiones,Cambiar el sistema de pago de copia e impresionar.
2023,Personal Administrativo,8,Bueno,Muy Malo,Neutral,El Internet esta muy lento,El interna esta muy lento.
2023,Personal Administrativo,4,Muy Malo,Malo,Neutral,Las aulas de cÃ³mputo estan muy sucias,Las aula de cómputo esta muy sucia.
2024,Otro,3,Neutral,Malo,Bueno,Mejorar el internet,Mejorar el interna.
2023,Alumno,8,Muy Malo,Muy Malo,Bueno,Me atendieron de una forma muy grosera,Me atendieron de una forma muy grosera.
2023,Alumno,2,Muy Bueno,Bueno,Muy Malo,"Todo muy bien, el ambiente es agradable",Todo muy bien el ambiente es agradable.
2023,Otro,1,Neutral,Muy Malo,Muy Bueno,Las aulas de cÃ³mputo estan muy sucias,Las aula de cómputo esta muy sucia.
2023,Personal Administrativo,1,Muy Bueno,Muy Bueno,Muy Bueno,Mejorar el internet,Mejorar el interna.
2024,Personal Administrativo,8,Malo,Bueno,Muy Malo,Atienden muy lento,Atender muy lento.
2023,Otro,9,Neutral,Muy Bueno,Muy Bueno,Me caen muy bien,Me caer muy bien.
2024,Docente,3,Bueno,Muy Bueno,Bueno,Equipos viejos,Equipo viejo.
2023,Otro,1,Muy Bueno,Malo,Malo,Compren equipo nuevo,Comprar equipo nuevo.
2023,Otro,1,Muy Bueno,Bueno,Neutral,Nada,Nada.
2023,Otro,4,Malo,Malo,Bueno,Nada,Nada.
2024,Otro,8,Malo,Muy Malo,Neutral,No funcionan las computadoras,No funcionar las computadoras.
2024,Alumno,8,Muy Bueno,Muy Bueno,Neutral,Los baÃ±os muchas veces se quedan sin papel o sin jabÃ³n o estÃ¡n muy sucios,Los baño mucha veras se queda sin papel o sin jabón o esto muy sucio.
2023,Docente,0,Muy Malo,Muy Bueno,Malo,Computadoras lentas,Computadoras lenta.
2023,Docente,1,Muy Bueno,Muy Malo,Muy Bueno,No funcionan los proyectores,No funcionar los proyectores.
2024,Otro,6,Muy Malo,Muy Bueno,Bueno,Atienden muy lento,Atender muy lento.
2024,Otro,7,Muy Malo,Malo,Bueno,Nada,Nada.
2023,Docente,4,Neutral,Neutral,Malo,al momento de pedir una impresiÃ³n te atienden de mala gana.mejoren la actitud.,Al momento de pedir una impresión te atender de mala gana.mejoren la actitud.
2024,Otro,8,Bueno,Neutral,Bueno,"Todo muy bien, el ambiente es agradable",Todo muy bien el ambiente es agradable.
2023,Otro,5,Neutral,Muy Bueno,Malo,Muy pocas computadoras,Muy poca computadoras.
2023,Otro,2,Bueno,Neutral,Muy Bueno,Me caen muy bien,Me caer muy bien.
2024,Otro,1,Bueno,Muy Bueno,Malo,No funcionan las computadoras,No funcionar las computadoras.
2024,Docente,9,Malo,Malo,Neutral,Nada,Nada.
2024,Alumno,4,Neutral,Muy Bueno,Muy Malo,"Todo excelente, gracias",Todo excelente gracia.
2023,Personal Administrativo,0,Malo,Muy Malo,Muy Malo,al momento de pedir una impresiÃ³n te atienden de mala gana.mejoren la actitud.,Al momento de pedir una impresión te atender de mala gana.mejoren la actitud.
2024,Alumno,5,Malo,Muy Malo,Malo,Muy Bien,Muy Bien.
2024,Personal Administrativo,8,Muy Malo,Muy Malo,Muy Bueno,Compren equipo nuevo,Comprar equipo nuevo.
2024,Docente,7,Malo,Muy Bueno,Muy Bueno,Nada,Nada.
2023,Docente,7,Malo,Bueno,Malo,Excelente,Excelente.
2023,Personal Administrativo,9,Muy Bueno,Bueno,Muy Bueno,Atienden muy lento,Atender muy lento.
2024,Personal Administrativo,5,Bueno,Malo,Bueno,Compren equipo nuevo,Comprar equipo nuevo.
2024,Otro,0,Malo,Muy Bueno,Muy Bueno,BaÃ±os sucios,Baño sucio.
2023,Personal Administrativo,5,Bueno,Bueno,Muy Malo,Falta mÃ¡s personal de servicioEs muy difÃ­cil accederExcelente servicioEl internet esta lentisimo,Falta más personal de servicio muy difícil accederExcelente servicio interna esta centésimo.
2023,Docente,8,Bueno,Malo,Malo,Atienden muy lento,Atender muy lento.
2024,Docente,7,Muy Bueno,Muy Bueno,Muy Malo,Cambiar el sistema de pago de copias e impresiones,Cambiar el sistema de pago de copia e impresionar.
2024,Docente,8,Neutral,Malo,Muy Malo,Computadoras lentas,Computadoras lenta.
2024,Docente,9,Malo,Neutral,Neutral,No funcionan los proyectores,No funcionar los proyectores.
2023,Personal Administrativo,9,Muy Bueno,Muy Bueno,Neutral,Computadoras lentas,Computadoras lenta.
2024,Docente,3,Malo,Neutral,Bueno,Bien,Bien.
2023,Personal Administrativo,8,Muy Bueno,Muy Bueno,Malo,Nada,Nada.
2023,Personal Administrativo,9,Malo,Malo,Neutral,PodrÃ­an mejorar el horario de servicio,Podrían mejorar el horario de servicio.
2024,Otro,6,Bueno,Muy Bueno,Muy Bueno,"Todo excelente, gracias",Todo excelente gracia.
2023,Docente,6,Muy Malo,Neutral,Muy Malo,El Internet esta muy lento,El interna esta muy lento.
2024,Alumno,8,Malo,Bueno,Muy Bueno,Muchas cosas porque el personal es muy soberbio,Mucha cosa porque el personal es muy soberbio.
2023,Otro,3,Muy Malo,Muy Malo,Malo,Me atendieron de una forma muy grosera,Me atendieron de una forma muy grosera.
2024,Docente,3,Bueno,Bueno,Muy Malo,"Todo excelente, gracias",Todo excelente gracia.
2023,Alumno,6,Muy Malo,Muy Malo,Muy Bueno,Mejorar el internet,Mejorar el interna.
2024,Alumno,4,Bueno,Muy Bueno,Muy Malo,No funcionan las computadoras,No funcionar las computadoras.
2023,Docente,0,Muy Bueno,Neutral,Malo,Equipos viejos,Equipo viejo.
2023,Personal Administrativo,1,Bueno,Muy Malo,Muy Bueno,Muy Bien,Muy Bien.
2024,Personal Administrativo,9,Muy Malo,Malo,Neutral,BaÃ±os sucios,Baño sucio.
2023,Alumno,4,Malo,Muy Malo,Muy Bueno,Falta mÃ¡s personal de servicioEs muy difÃ­cil accederExcelente servicioEl internet esta lentisimo,Falta más personal de servicio muy difícil accederExcelente servicio interna esta centésimo.
2023,Alumno,6,Malo,Muy Malo,Malo,PodrÃ­an mejorar el horario de servicio,Podrían mejorar el horario de servicio.
2023,Personal Administrativo,6,Malo,Bueno,Neutral,Me caen muy bien,Me caer muy bien.
2023,Personal Administrativo,5,Malo,Neutral,Malo,No funcionan los proyectores,No funcionar los proyectores.
2024,Alumno,1,Neutral,Muy Malo,Muy Bueno,"Cada que se quiere consultar algo, sale un texto que se repasÃ³ el nÃºmero de impresiones, lo cual nunca se puede consultar nada","Cada que se quier consultar algo vale un texto que se repaso el número de impresiones, lo cual nunca se pues consultar nada."
2023,Alumno,5,Muy Bueno,Malo,Muy Malo,Me atendieron de una forma muy grosera,Me atendieron de una forma muy grosera.
