A絪,Categoria,Recomendaci蚤,Amabilidad,Asesorias,Rapidez,Comentarios
2023,Personal Administrativo,5,Neutral,Neutral,Malo,Muy pocas computadoras
2023,Docente,5,Bueno,Muy Bueno,Bueno,Las aulas de c칩mputo estan muy sucias
2024,Personal Administrativo,7,Neutral,Bueno,Muy Bueno,No funcionan las computadoras
2023,Personal Administrativo,8,Muy Bueno,Malo,Bueno,Equipos viejos
2024,Docente,8,Neutral,Malo,Neutral,Ba침os sucios
2024,Alumno,5,Bueno,Neutral,Muy Malo,Se llenan todas las aulas y no puedo trabajar
2023,Docente,6,Malo,Bueno,Muy Bueno,Bien
2023,Docente,5,Bueno,Malo,Muy Malo,No funcionan las computadoras
2023,Docente,7,Malo,Malo,Muy Bueno,Muy pocas computadoras
2024,Otro,4,Bueno,Muy Bueno,Bueno,Nadie atiende
2024,Docente,6,Bueno,Neutral,Neutral,
2023,Docente,6,Malo,Neutral,Muy Malo,Excelente
2024,Otro,1,Bueno,Malo,Muy Bueno,Nada
2023,Docente,4,Neutral,Neutral,Malo,"Cada que se quiere consultar algo, sale un texto que se repas칩 el n칰mero de impresiones, lo cual nunca se puede consultar nada"
2023,Docente,3,Malo,Muy Bueno,Muy Malo,Nada
2023,Alumno,4,Muy Malo,Muy Bueno,Bueno,No funcionan las computadoras
2024,Docente,5,Muy Bueno,Bueno,Muy Malo,Mas personal y que corran a las personas que se la pasan platicando y haciendo ruido ya que la biblioteca es un lugar para estudiar y realizar tareas o trabajos
2023,Personal Administrativo,7,Malo,Malo,Neutral,Mas personal y que corran a las personas que se la pasan platicando y haciendo ruido ya que la biblioteca es un lugar para estudiar y realizar tareas o trabajos
2024,Docente,2,Muy Bueno,Muy Malo,Neutral,Me caen muy bien
2024,Alumno,2,Bueno,Bueno,Bueno,Muchas cosas porque el personal es muy soberbio
2023,Otro,4,Malo,Neutral,Muy Malo,Nadie atiende
2023,Otro,5,Muy Malo,Muy Malo,Malo,Muy pocas computadoras
2024,Docente,2,Bueno,Muy Bueno,Neutral,Ba침os sucios
2023,Otro,5,Neutral,Muy Bueno,Malo,Mas personal y que corran a las personas que se la pasan platicando y haciendo ruido ya que la biblioteca es un lugar para estudiar y realizar tareas o trabajos
2024,Alumno,9,Bueno,Muy Malo,Neutral,"Todo excelente, gracias"
2023,Docente,0,Neutral,Muy Malo,Malo,No funcionan los proyectores
2023,Personal Administrativo,1,Muy Malo,Neutral,Bueno,al momento de pedir una impresi칩n te atienden de mala gana.mejoren la actitud.
2023,Alumno,9,Muy Malo,Malo,Muy Bueno,Nada
2024,Alumno,5,Bueno,Muy Malo,Neutral,No funcionan los proyectores
2024,Alumno,2,Muy Malo,Muy Malo,Neutral,Muy Bien
2023,Personal Administrativo,6,Malo,Bueno,Muy Bueno,Falta m치s personal de servicioEs muy dif칤cil accederExcelente servicioEl internet esta lentisimo
2024,Otro,9,Bueno,Muy Malo,Neutral,Mas personal y que corran a las personas que se la pasan platicando y haciendo ruido ya que la biblioteca es un lugar para estudiar y realizar tareas o trabajos
2023,Otro,1,Muy Bueno,Muy Malo,Malo,
2024,Otro,1,Muy Malo,Neutral,Muy Bueno,Atienden muy lento
2024,Docente,1,Neutral,Bueno,Muy Malo,Nadie atiende
2024,Alumno,1,Neutral,Muy Bueno,Muy Bueno,Mejorar el internet
2024,Docente,7,Neutral,Malo,Muy Bueno,El Internet esta muy lento
2024,Alumno,4,Muy Malo,Neutral,Neutral,Mejorar el internet
2023,Personal Administrativo,0,Malo,Malo,Malo,al momento de pedir una impresi칩n te atienden de mala gana.mejoren la actitud.
2024,Alumno,7,Malo,Muy Malo,Muy Bueno,Cambiar el sistema de pago de copias e impresiones
2024,Alumno,0,Neutral,Muy Malo,Muy Bueno,Nada
2024,Docente,1,Muy Malo,Malo,Muy Bueno,Muchas cosas porque el personal es muy soberbio
2024,Alumno,5,Malo,Malo,Malo,Podr칤an mejorar el horario de servicio
2023,Alumno,2,Muy Bueno,Bueno,Muy Malo,Nada
2023,Otro,8,Neutral,Neutral,Muy Malo,Cambiar el sistema de pago de copias e impresiones
2024,Alumno,9,Malo,Malo,Bueno,Me caen muy bien
2024,Otro,4,Muy Bueno,Muy Bueno,Bueno,Compren equipo nuevo
2023,Docente,8,Muy Malo,Muy Malo,Muy Bueno,al momento de pedir una impresi칩n te atienden de mala gana.mejoren la actitud.
2023,Personal Administrativo,7,Muy Malo,Muy Malo,Muy Bueno,Nada
2023,Personal Administrativo,7,Muy Bueno,Neutral,Muy Malo,Mejorar el internet
2024,Personal Administrativo,6,Muy Malo,Neutral,Bueno,Computadoras lentas
2024,Alumno,6,Malo,Muy Bueno,Bueno,Compren equipo nuevo
2024,Alumno,9,Malo,Muy Bueno,Neutral,Fallan equipos
2024,Personal Administrativo,3,Malo,Neutral,Malo,No funcionan las computadoras
2023,Otro,8,Bueno,Neutral,Muy Malo,"Todo excelente, gracias"
2023,Alumno,2,Muy Bueno,Malo,Malo,Podr칤an mejorar el horario de servicio
2023,Docente,8,Bueno,Muy Malo,Bueno,"Cada que se quiere consultar algo, sale un texto que se repas칩 el n칰mero de impresiones, lo cual nunca se puede consultar nada"
2024,Otro,6,Muy Bueno,Malo,Muy Malo,Falta m치s personal de servicioEs muy dif칤cil accederExcelente servicioEl internet esta lentisimo
2024,Otro,8,Bueno,Bueno,Bueno,Me caen muy bien
2023,Docente,9,Muy Bueno,Muy Malo,Muy Bueno,Ba침os sucios
2024,Docente,4,Bueno,Muy Bueno,Malo,El Internet esta muy lento
2024,Alumno,8,Neutral,Neutral,Muy Malo,Podr칤an mejorar el horario de servicio
2023,Otro,4,Muy Bueno,Muy Bueno,Bueno,Se llenan todas las aulas y no puedo trabajar
2023,Docente,1,Muy Malo,Neutral,Malo,Se llenan todas las aulas y no puedo trabajar
2023,Personal Administrativo,9,Muy Malo,Malo,Muy Bueno,al momento de pedir una impresi칩n te atienden de mala gana.mejoren la actitud.
2023,Docente,1,Bueno,Muy Bueno,Muy Malo,Nada
2024,Alumno,7,Bueno,Muy Malo,Malo,"Todo muy bien, el ambiente es agradable"
2023,Docente,7,Bueno,Malo,Neutral,Mejorar el internet
2024,Docente,8,Muy Malo,Neutral,Neutral,Las aulas de c칩mputo estan muy sucias
2023,Docente,4,Bueno,Malo,Bueno,Falta m치s personal de servicioEs muy dif칤cil accederExcelente servicioEl internet esta lentisimo
2023,Personal Administrativo,3,Bueno,Bueno,Muy Bueno,al momento de pedir una impresi칩n te atienden de mala gana.mejoren la actitud.
2024,Docente,3,Muy Malo,Muy Bueno,Malo,Atienden muy lento
2023,Otro,2,Muy Bueno,Muy Malo,Malo,Equipos viejos
2023,Docente,3,Muy Bueno,Malo,Muy Bueno,Mejorar el internet
2023,Alumno,8,Neutral,Bueno,Muy Malo,Mas personal y que corran a las personas que se la pasan platicando y haciendo ruido ya que la biblioteca es un lugar para estudiar y realizar tareas o trabajos
2024,Personal Administrativo,3,Muy Malo,Bueno,Muy Malo,Nadie atiende
2024,Personal Administrativo,8,Muy Malo,Muy Malo,Malo,Los ba침os muchas veces se quedan sin papel o sin jab칩n o est치n muy sucios
2024,Personal Administrativo,9,Malo,Muy Malo,Malo,"Cada que se quiere consultar algo, sale un texto que se repas칩 el n칰mero de impresiones, lo cual nunca se puede consultar nada"
2024,Docente,2,Neutral,Bueno,Neutral,Mas personal y que corran a las personas que se la pasan platicando y haciendo ruido ya que la biblioteca es un lugar para estudiar y realizar tareas o trabajos
2023,Personal Administrativo,5,Bueno,Muy Malo,Muy Malo,Nada
2024,Docente,8,Muy Malo,Muy Malo,Neutral,Muy Bien
2024,Otro,7,Malo,Bueno,Muy Malo,Me atendieron de una forma muy grosera
2023,Otro,4,Malo,Muy Malo,Muy Bueno,Podr칤an mejorar el horario de servicio
2023,Personal Administrativo,8,Neutral,Muy Malo,Malo,Las aulas de c칩mputo estan muy sucias
2023,Otro,5,Muy Malo,Muy Bueno,Muy Bueno,Nada
2024,Docente,1,Muy Bueno,Bueno,Malo,Cambiar el sistema de pago de copias e impresiones
2023,Otro,8,Bueno,Malo,Bueno,Podr칤an mejorar el horario de servicio
2023,Docente,7,Muy Bueno,Bueno,Muy Malo,Nadie atiende
2023,Personal Administrativo,6,Muy Malo,Malo,Neutral,Equipos viejos
2023,Docente,4,Malo,Neutral,Neutral,Muchas cosas porque el personal es muy soberbio
2024,Otro,1,Muy Malo,Muy Malo,Neutral,Mas personal y que corran a las personas que se la pasan platicando y haciendo ruido ya que la biblioteca es un lugar para estudiar y realizar tareas o trabajos
2024,Docente,2,Muy Malo,Malo,Muy Bueno,
2024,Alumno,0,Muy Malo,Neutral,Muy Malo,Ba침os sucios
2023,Docente,6,Neutral,Bueno,Malo,El Internet esta muy lento
2023,Otro,4,Bueno,Bueno,Malo,Compren equipo nuevo
2023,Docente,8,Malo,Bueno,Muy Malo,Bien
2024,Otro,9,Malo,Muy Bueno,Malo,"Todo muy bien, el ambiente es agradable"
2023,Otro,4,Muy Bueno,Bueno,Bueno,Ba침os sucios
2023,Docente,2,Muy Malo,Malo,Muy Bueno,Me caen muy bien
2024,Otro,1,Muy Malo,Muy Bueno,Neutral,No funcionan los proyectores
2024,Alumno,3,Muy Malo,Muy Malo,Muy Malo,"Todo excelente, gracias"
2024,Docente,2,Neutral,Neutral,Malo,Falta m치s personal de servicioEs muy dif칤cil accederExcelente servicioEl internet esta lentisimo
2023,Docente,9,Bueno,Malo,Neutral,"Todo excelente, gracias"
2024,Otro,4,Muy Malo,Malo,Muy Bueno,Ba침os sucios
2024,Personal Administrativo,2,Malo,Muy Bueno,Neutral,Equipos viejos
2024,Personal Administrativo,8,Muy Bueno,Neutral,Muy Bueno,Ba침os sucios
2024,Alumno,5,Muy Bueno,Neutral,Bueno,Fallan equipos
2024,Personal Administrativo,5,Bueno,Bueno,Malo,Falta m치s personal de servicioEs muy dif칤cil accederExcelente servicioEl internet esta lentisimo
2024,Alumno,7,Neutral,Malo,Muy Bueno,Las aulas de c칩mputo estan muy sucias
2024,Personal Administrativo,3,Muy Malo,Muy Malo,Muy Bueno,Equipos viejos
2023,Personal Administrativo,1,Malo,Muy Bueno,Muy Malo,Los ba침os muchas veces se quedan sin papel o sin jab칩n o est치n muy sucios
2023,Docente,6,Neutral,Neutral,Muy Bueno,Computadoras lentas
2024,Otro,4,Muy Bueno,Neutral,Muy Bueno,Nadie atiende
2023,Personal Administrativo,2,Neutral,Bueno,Muy Malo,"Cada que se quiere consultar algo, sale un texto que se repas칩 el n칰mero de impresiones, lo cual nunca se puede consultar nada"
2024,Alumno,8,Malo,Muy Bueno,Malo,Nada
2024,Docente,8,Muy Bueno,Muy Bueno,Neutral,Falta m치s personal de servicioEs muy dif칤cil accederExcelente servicioEl internet esta lentisimo
2024,Docente,4,Neutral,Muy Malo,Neutral,
2023,Docente,6,Neutral,Bueno,Neutral,Excelente
2023,Personal Administrativo,6,Muy Malo,Malo,Malo,Cambiar el sistema de pago de copias e impresiones
2024,Personal Administrativo,8,Muy Malo,Bueno,Malo,Me caen muy bien
2024,Docente,6,Muy Bueno,Bueno,Malo,Falta m치s personal de servicioEs muy dif칤cil accederExcelente servicioEl internet esta lentisimo
2023,Alumno,1,Muy Bueno,Neutral,Bueno,Muchas cosas porque el personal es muy soberbio
2024,Docente,3,Muy Malo,Malo,Bueno,Equipos viejos
2023,Alumno,1,Bueno,Bueno,Muy Malo,Cambiar el sistema de pago de copias e impresiones
2024,Alumno,5,Malo,Muy Bueno,Neutral,"Todo excelente, gracias"
2023,Alumno,8,Neutral,Bueno,Muy Malo,
2024,Personal Administrativo,5,Muy Bueno,Malo,Neutral,No funcionan los proyectores
2023,Alumno,9,Bueno,Malo,Malo,Atienden muy lento
2023,Otro,6,Neutral,Muy Malo,Muy Bueno,Compren equipo nuevo
2023,Personal Administrativo,3,Malo,Malo,Malo,El Internet esta muy lento
2023,Otro,8,Neutral,Muy Malo,Muy Bueno,Ba침os sucios
2023,Docente,1,Muy Malo,Muy Malo,Muy Malo,Muy pocas computadoras
2024,Personal Administrativo,2,Muy Bueno,Bueno,Bueno,Fallan equipos
2023,Alumno,6,Bueno,Neutral,Malo,Las aulas de c칩mputo estan muy sucias
2024,Otro,1,Bueno,Muy Malo,Muy Malo,Fallan equipos
2023,Alumno,6,Malo,Neutral,Neutral,"Todo excelente, gracias"
2023,Alumno,9,Malo,Muy Bueno,Malo,"Todo muy bien, el ambiente es agradable"
2024,Personal Administrativo,7,Bueno,Muy Bueno,Bueno,Me caen muy bien
2023,Otro,0,Neutral,Bueno,Muy Malo,Nadie atiende
2023,Alumno,6,Bueno,Muy Malo,Neutral,Se llenan todas las aulas y no puedo trabajar
2023,Docente,5,Muy Bueno,Muy Bueno,Muy Malo,Las aulas de c칩mputo estan muy sucias
2024,Personal Administrativo,4,Malo,Muy Bueno,Bueno,Muy pocas computadoras
2023,Personal Administrativo,7,Muy Malo,Muy Bueno,Malo,Excelente
2023,Otro,1,Neutral,Muy Bueno,Muy Malo,Muy pocas computadoras
2024,Otro,3,Malo,Muy Malo,Malo,Muchas cosas porque el personal es muy soberbio
2024,Otro,5,Bueno,Bueno,Neutral,Mas personal y que corran a las personas que se la pasan platicando y haciendo ruido ya que la biblioteca es un lugar para estudiar y realizar tareas o trabajos
2024,Docente,6,Neutral,Muy Malo,Muy Malo,El Internet esta muy lento
2023,Personal Administrativo,8,Neutral,Muy Malo,Neutral,Atienden muy lento
2023,Personal Administrativo,0,Malo,Malo,Neutral,Me atendieron de una forma muy grosera
2023,Personal Administrativo,0,Neutral,Muy Malo,Malo,Me atendieron de una forma muy grosera
2024,Personal Administrativo,1,Muy Malo,Malo,Neutral,Nada
2023,Otro,6,Malo,Neutral,Muy Bueno,Mejorar el internet
2024,Otro,4,Malo,Bueno,Muy Malo,No funcionan las computadoras
2023,Otro,1,Bueno,Bueno,Bueno,No funcionan los proyectores
2024,Otro,2,Muy Bueno,Neutral,Muy Malo,Bien
2023,Otro,9,Bueno,Muy Malo,Bueno,"Todo muy bien, el ambiente es agradable"
2023,Otro,6,Muy Malo,Neutral,Muy Bueno,Muchas cosas porque el personal es muy soberbio
2023,Personal Administrativo,4,Malo,Bueno,Neutral,Bien
2023,Alumno,3,Muy Bueno,Bueno,Bueno,Muy Bien
2023,Personal Administrativo,6,Muy Malo,Muy Bueno,Neutral,"Todo muy bien, el ambiente es agradable"
2023,Docente,6,Muy Bueno,Bueno,Neutral,Me atendieron de una forma muy grosera
2024,Otro,8,Neutral,Malo,Malo,Me atendieron de una forma muy grosera
2023,Docente,6,Malo,Bueno,Muy Malo,El Internet esta muy lento
2024,Alumno,1,Bueno,Malo,Neutral,Fallan equipos
2023,Docente,0,Muy Bueno,Malo,Malo,Compren equipo nuevo
2024,Docente,7,Muy Malo,Muy Malo,Muy Bueno,Cambiar el sistema de pago de copias e impresiones
2023,Alumno,9,Muy Malo,Neutral,Bueno,No funcionan los proyectores
2024,Docente,2,Malo,Neutral,Bueno,Muy pocas computadoras
2023,Otro,3,Neutral,Muy Bueno,Muy Malo,Muy Bien
2024,Otro,4,Malo,Muy Malo,Muy Malo,"Todo muy bien, el ambiente es agradable"
2024,Docente,5,Neutral,Bueno,Bueno,
2023,Alumno,6,Muy Malo,Malo,Muy Malo,Fallan equipos
2024,Docente,7,Muy Bueno,Muy Bueno,Muy Malo,al momento de pedir una impresi칩n te atienden de mala gana.mejoren la actitud.
2024,Personal Administrativo,9,Malo,Malo,Neutral,Nada
2023,Personal Administrativo,4,Malo,Bueno,Muy Bueno,Mejorar el internet
2024,Personal Administrativo,0,Neutral,Bueno,Malo,Me caen muy bien
2024,Otro,0,Malo,Neutral,Bueno,Muy pocas computadoras
2024,Docente,6,Neutral,Malo,Muy Bueno,Falta m치s personal de servicioEs muy dif칤cil accederExcelente servicioEl internet esta lentisimo
2024,Docente,7,Malo,Muy Bueno,Neutral,"Todo excelente, gracias"
2024,Alumno,6,Bueno,Bueno,Bueno,Mejorar el internet
2024,Alumno,0,Muy Bueno,Neutral,Muy Malo,Muchas cosas porque el personal es muy soberbio
2024,Otro,1,Neutral,Neutral,Muy Malo,Compren equipo nuevo
2024,Alumno,3,Malo,Muy Bueno,Bueno,Podr칤an mejorar el horario de servicio
2024,Otro,3,Muy Malo,Malo,Malo,Falta m치s personal de servicioEs muy dif칤cil accederExcelente servicioEl internet esta lentisimo
2023,Docente,7,Bueno,Bueno,Neutral,Se llenan todas las aulas y no puedo trabajar
2023,Docente,6,Bueno,Bueno,Bueno,Falta m치s personal de servicioEs muy dif칤cil accederExcelente servicioEl internet esta lentisimo
2023,Otro,1,Malo,Malo,Bueno,Computadoras lentas
2023,Alumno,0,Malo,Neutral,Bueno,Falta m치s personal de servicioEs muy dif칤cil accederExcelente servicioEl internet esta lentisimo
2024,Alumno,0,Malo,Bueno,Muy Malo,Los ba침os muchas veces se quedan sin papel o sin jab칩n o est치n muy sucios
2024,Personal Administrativo,5,Bueno,Malo,Muy Bueno,Fallan equipos
2023,Alumno,5,Malo,Muy Bueno,Muy Malo,Cambiar el sistema de pago de copias e impresiones
2023,Otro,6,Muy Malo,Malo,Muy Bueno,Muchas cosas porque el personal es muy soberbio
2023,Personal Administrativo,2,Muy Malo,Muy Malo,Bueno,Fallan equipos
2024,Docente,7,Bueno,Muy Malo,Bueno,Equipos viejos
2024,Otro,9,Malo,Neutral,Malo,Muchas cosas porque el personal es muy soberbio
2024,Alumno,9,Bueno,Malo,Malo,Cambiar el sistema de pago de copias e impresiones
2023,Personal Administrativo,8,Bueno,Muy Malo,Neutral,El Internet esta muy lento
2023,Personal Administrativo,4,Muy Malo,Malo,Neutral,Las aulas de c칩mputo estan muy sucias
2024,Otro,3,Neutral,Malo,Bueno,Mejorar el internet
2023,Alumno,8,Muy Malo,Muy Malo,Bueno,Me atendieron de una forma muy grosera
2023,Alumno,2,Muy Bueno,Bueno,Muy Malo,"Todo muy bien, el ambiente es agradable"
2023,Otro,1,Neutral,Muy Malo,Muy Bueno,Las aulas de c칩mputo estan muy sucias
2023,Personal Administrativo,1,Muy Bueno,Muy Bueno,Muy Bueno,Mejorar el internet
2024,Personal Administrativo,8,Malo,Bueno,Muy Malo,Atienden muy lento
2023,Otro,9,Neutral,Muy Bueno,Muy Bueno,Me caen muy bien
2024,Docente,3,Bueno,Muy Bueno,Bueno,Equipos viejos
2023,Otro,1,Muy Bueno,Malo,Malo,Compren equipo nuevo
2023,Otro,1,Muy Bueno,Bueno,Neutral,Nada
2023,Otro,4,Malo,Malo,Bueno,Nada
2024,Otro,8,Malo,Muy Malo,Neutral,No funcionan las computadoras
2024,Alumno,8,Muy Bueno,Muy Bueno,Neutral,Los ba침os muchas veces se quedan sin papel o sin jab칩n o est치n muy sucios
2023,Docente,0,Muy Malo,Muy Bueno,Malo,Computadoras lentas
2023,Docente,1,Muy Bueno,Muy Malo,Muy Bueno,No funcionan los proyectores
2024,Otro,6,Muy Malo,Muy Bueno,Bueno,Atienden muy lento
2024,Otro,7,Muy Malo,Malo,Bueno,Nada
2023,Docente,4,Neutral,Neutral,Malo,al momento de pedir una impresi칩n te atienden de mala gana.mejoren la actitud.
2024,Otro,8,Bueno,Neutral,Bueno,"Todo muy bien, el ambiente es agradable"
2023,Otro,5,Neutral,Muy Bueno,Malo,Muy pocas computadoras
2023,Otro,2,Bueno,Neutral,Muy Bueno,Me caen muy bien
2024,Otro,1,Bueno,Muy Bueno,Malo,No funcionan las computadoras
2024,Docente,9,Malo,Malo,Neutral,Nada
2024,Alumno,4,Neutral,Muy Bueno,Muy Malo,"Todo excelente, gracias"
2023,Personal Administrativo,0,Malo,Muy Malo,Muy Malo,al momento de pedir una impresi칩n te atienden de mala gana.mejoren la actitud.
2024,Alumno,5,Malo,Muy Malo,Malo,Muy Bien
2024,Personal Administrativo,8,Muy Malo,Muy Malo,Muy Bueno,Compren equipo nuevo
2024,Docente,7,Malo,Muy Bueno,Muy Bueno,Nada
2023,Docente,7,Malo,Bueno,Malo,Excelente
2023,Personal Administrativo,9,Muy Bueno,Bueno,Muy Bueno,Atienden muy lento
2024,Personal Administrativo,5,Bueno,Malo,Bueno,Compren equipo nuevo
2024,Otro,0,Malo,Muy Bueno,Muy Bueno,Ba침os sucios
2023,Personal Administrativo,5,Bueno,Bueno,Muy Malo,Falta m치s personal de servicioEs muy dif칤cil accederExcelente servicioEl internet esta lentisimo
2023,Docente,8,Bueno,Malo,Malo,Atienden muy lento
2024,Docente,7,Muy Bueno,Muy Bueno,Muy Malo,Cambiar el sistema de pago de copias e impresiones
2024,Docente,8,Neutral,Malo,Muy Malo,Computadoras lentas
2024,Docente,9,Malo,Neutral,Neutral,No funcionan los proyectores
2023,Personal Administrativo,9,Muy Bueno,Muy Bueno,Neutral,Computadoras lentas
2024,Docente,3,Malo,Neutral,Bueno,Bien
2023,Personal Administrativo,8,Muy Bueno,Muy Bueno,Malo,Nada
2023,Personal Administrativo,9,Malo,Malo,Neutral,Podr칤an mejorar el horario de servicio
2024,Otro,6,Bueno,Muy Bueno,Muy Bueno,"Todo excelente, gracias"
2023,Docente,6,Muy Malo,Neutral,Muy Malo,El Internet esta muy lento
2024,Alumno,8,Malo,Bueno,Muy Bueno,Muchas cosas porque el personal es muy soberbio
2023,Otro,3,Muy Malo,Muy Malo,Malo,Me atendieron de una forma muy grosera
2024,Docente,3,Bueno,Bueno,Muy Malo,"Todo excelente, gracias"
2023,Alumno,6,Muy Malo,Muy Malo,Muy Bueno,Mejorar el internet
2024,Alumno,4,Bueno,Muy Bueno,Muy Malo,No funcionan las computadoras
2023,Docente,0,Muy Bueno,Neutral,Malo,Equipos viejos
2023,Personal Administrativo,1,Bueno,Muy Malo,Muy Bueno,Muy Bien
2024,Personal Administrativo,9,Muy Malo,Malo,Neutral,Ba침os sucios
2023,Alumno,4,Malo,Muy Malo,Muy Bueno,Falta m치s personal de servicioEs muy dif칤cil accederExcelente servicioEl internet esta lentisimo
2023,Alumno,6,Malo,Muy Malo,Malo,Podr칤an mejorar el horario de servicio
2023,Personal Administrativo,6,Malo,Bueno,Neutral,Me caen muy bien
2023,Personal Administrativo,5,Malo,Neutral,Malo,No funcionan los proyectores
2024,Alumno,1,Neutral,Muy Malo,Muy Bueno,"Cada que se quiere consultar algo, sale un texto que se repas칩 el n칰mero de impresiones, lo cual nunca se puede consultar nada"
2023,Alumno,5,Muy Bueno,Malo,Muy Malo,Me atendieron de una forma muy grosera
